Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,9.38,9.71,9.22,9.49,244100,9.49
2016-10-25,9.99,10.12,9.62,9.65,306900,9.65
2016-10-24,10.25,10.33,9.75,10.02,431400,10.02
2016-10-21,10.23,10.52,10.13,10.37,366400,10.37
2016-10-20,10.16,10.50,10.07,10.23,388900,10.23
2016-10-19,10.64,10.85,10.34,10.35,422000,10.35
2016-10-18,10.28,10.63,10.02,10.54,323100,10.54
2016-10-17,10.33,10.41,9.95,10.19,227700,10.19
2016-10-14,10.67,10.95,10.21,10.30,279700,10.30
2016-10-13,11.01,11.03,10.53,10.57,478300,10.57
2016-10-12,10.77,11.21,10.56,11.08,371600,11.08
2016-10-11,11.00,11.18,10.71,10.79,282500,10.79
2016-10-10,10.85,11.28,10.69,11.13,509600,11.13
2016-10-07,10.41,10.79,10.41,10.57,440500,10.57
2016-10-06,10.23,10.75,10.23,10.57,749100,10.57
2016-10-05,9.61,10.72,9.61,10.31,941400,10.31
2016-10-04,9.53,9.81,9.37,9.54,504200,9.54
2016-10-03,9.35,9.87,9.35,9.39,752500,9.39
2016-09-30,9.25,9.57,9.19,9.38,948500,9.38
2016-09-29,8.88,9.99,8.86,9.36,1816700,9.36
2016-09-28,8.35,9.20,8.35,8.77,1000000,8.77
2016-09-27,8.41,8.53,8.15,8.35,250000,8.35
