Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,27.719999,27.860001,27.389999,27.690001,682100,27.690001
2016-10-25,27.809999,28.10,27.809999,27.889999,465200,27.889999
2016-10-24,28.059999,28.42,27.83,27.879999,851300,27.879999
2016-10-21,28.190001,28.27,27.870001,27.98,931900,27.98
2016-10-20,28.68,28.809999,28.110001,28.299999,676000,28.299999
2016-10-19,28.780001,29.00,28.60,28.74,646700,28.74
2016-10-18,29.77,29.77,29.26,29.290001,981000,28.780001
2016-10-17,29.00,29.219999,28.91,29.01,674600,28.504876
2016-10-14,29.25,29.389999,28.99,29.040001,469000,28.534354
2016-10-13,28.809999,29.24,28.75,29.16,759400,28.652264
2016-10-12,28.469999,28.99,28.459999,28.870001,653700,28.367314
2016-10-11,28.639999,28.84,28.309999,28.51,511900,28.013582
2016-10-10,28.58,29.00,28.49,28.780001,434900,28.278881
2016-10-07,28.809999,29.15,28.360001,28.459999,777200,27.964452
2016-10-06,28.530001,28.799999,28.27,28.719999,790800,28.219925
2016-10-05,29.290001,29.459999,28.690001,28.700001,926500,28.200274
2016-10-04,29.57,29.700001,28.940001,29.23,960600,28.721045
2016-10-03,29.719999,30.059999,29.280001,29.57,746000,29.055125
2016-09-30,29.93,30.040001,29.639999,29.719999,903900,29.202513
2016-09-29,29.799999,30.02,29.559999,29.709999,620400,29.192687
2016-09-28,29.530001,30.00,29.33,29.99,609300,29.467812
2016-09-27,29.67,29.74,29.389999,29.440001,822700,28.927389
