Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,23.01,23.209999,22.790001,22.790001,1747400,22.790001
2016-10-25,23.50,23.549999,23.00,23.00,1827500,23.00
2016-10-24,23.540001,23.719999,23.459999,23.49,2658900,23.49
2016-10-21,23.24,23.629999,23.110001,23.389999,2106300,23.389999
2016-10-20,23.17,23.309999,23.10,23.290001,2333800,23.290001
2016-10-19,23.190001,23.299999,23.09,23.209999,1372200,23.209999
2016-10-18,23.280001,23.280001,23.030001,23.09,1817000,23.09
2016-10-17,23.040001,23.299999,23.00,23.120001,1543300,23.120001
2016-10-14,23.01,23.309999,23.01,23.07,1108800,23.07
2016-10-13,22.85,23.030001,22.67,22.950001,994000,22.950001
2016-10-12,22.799999,23.049999,22.77,23.01,1050000,23.01
2016-10-11,22.799999,23.01,22.67,22.82,1249700,22.82
2016-10-10,22.74,22.950001,22.690001,22.83,922700,22.83
2016-10-07,22.85,22.870001,22.530001,22.65,1939000,22.65
2016-10-06,22.870001,23.00,22.75,22.77,1368600,22.77
2016-10-05,22.639999,22.950001,22.610001,22.879999,1508400,22.879999
2016-10-04,22.889999,22.959999,22.530001,22.59,2161500,22.59
2016-10-03,23.059999,23.24,22.809999,22.82,1384000,22.82
2016-09-30,22.790001,23.24,22.60,23.15,2235600,23.15
2016-09-29,22.870001,23.040001,22.58,22.65,1498000,22.65
2016-09-28,22.889999,23.00,22.58,22.92,1926900,22.92
2016-09-27,22.860001,22.950001,22.67,22.75,1752400,22.75
