Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,15.34,15.34,14.97,15.01,11087100,15.01
2016-10-25,15.50,15.61,15.37,15.40,6269100,15.40
2016-10-24,15.54,15.83,15.52,15.54,8688700,15.54
2016-10-21,15.38,15.51,15.10,15.47,7731900,15.47
2016-10-20,15.73,15.78,15.21,15.51,15933400,15.51
2016-10-19,15.76,15.86,15.69,15.72,5695400,15.72
2016-10-18,15.59,15.78,15.55,15.70,6088900,15.70
2016-10-17,15.45,15.62,15.43,15.49,4645400,15.49
2016-10-14,15.60,15.69,15.44,15.44,5967700,15.44
2016-10-13,15.43,15.57,15.31,15.51,5522500,15.51
2016-10-12,15.50,15.59,15.41,15.53,4158200,15.53
2016-10-11,15.63,15.65,15.27,15.45,9246500,15.45
2016-10-10,15.53,15.77,15.51,15.69,8451300,15.69
2016-10-07,15.55,15.83,15.37,15.49,7481300,15.49
2016-10-06,15.35,15.64,15.24,15.55,8382000,15.55
2016-10-05,15.51,15.66,15.28,15.41,10709000,15.41
2016-10-04,15.57,15.71,15.37,15.44,11722600,15.44
2016-10-03,15.50,15.66,15.39,15.58,7380900,15.58
2016-09-30,15.78,15.87,15.55,15.57,13911500,15.57
2016-09-29,15.56,15.89,15.43,15.65,11941500,15.65
2016-09-28,15.54,15.74,15.46,15.60,10152500,15.60
2016-09-27,15.99,16.00,15.72,15.74,8724900,15.54
