Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,4.23,4.25,3.98,4.06,5365000,4.06
2016-10-25,4.08,4.30,4.07,4.23,6793600,4.23
2016-10-24,4.16,4.18,3.97,4.06,9726100,4.06
2016-10-21,3.98,4.14,3.93,4.10,8761300,4.10
2016-10-20,3.91,4.01,3.78,4.01,7610900,4.01
2016-10-19,3.84,3.90,3.75,3.87,11371500,3.87
2016-10-18,3.53,3.69,3.46,3.66,6973900,3.66
2016-10-17,3.39,3.47,3.31,3.43,6856100,3.43
2016-10-14,3.40,3.49,3.36,3.37,9179000,3.37
2016-10-13,3.40,3.56,3.32,3.46,10648000,3.46
2016-10-12,3.28,3.42,3.26,3.38,9764200,3.38
2016-10-11,3.36,3.37,3.23,3.28,7054400,3.28
2016-10-10,3.32,3.38,3.26,3.37,5732900,3.37
2016-10-07,3.32,3.39,3.14,3.28,11184400,3.28
2016-10-06,3.22,3.36,3.19,3.22,12771600,3.22
2016-10-05,3.55,3.57,3.30,3.41,13683100,3.41
2016-10-04,3.75,3.75,3.45,3.45,13374100,3.45
2016-10-03,4.05,4.10,3.85,3.93,5399300,3.93
2016-09-30,4.30,4.31,4.03,4.05,10740300,4.05
2016-09-29,4.22,4.28,4.12,4.21,5805000,4.21
2016-09-28,4.03,4.32,4.03,4.28,7507000,4.28
2016-09-27,4.10,4.18,4.04,4.10,6689000,4.10
