Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,20.84,21.280001,20.809999,21.10,1700600,21.10
2016-10-25,20.959999,21.09,20.780001,20.99,1112100,20.99
2016-10-24,20.610001,20.93,20.540001,20.91,1571400,20.91
2016-10-21,20.26,20.379999,19.950001,20.309999,1169100,20.309999
2016-10-20,20.200001,20.43,19.99,20.370001,1566200,20.370001
2016-10-19,20.02,20.33,19.799999,20.209999,1213300,20.209999
2016-10-18,20.290001,20.52,20.08,20.15,1852500,20.15
2016-10-17,19.74,20.049999,19.700001,20.00,2083300,20.00
2016-10-14,19.82,20.120001,19.709999,19.790001,2664200,19.790001
2016-10-13,20.00,20.059999,19.379999,19.73,3285100,19.73
2016-10-12,20.98,20.98,19.92,20.23,4137700,20.23
2016-10-11,21.85,21.969999,20.83,21.049999,5247800,21.049999
2016-10-10,22.57,23.02,21.950001,22.049999,3158000,22.049999
2016-10-07,23.120001,23.120001,22.549999,22.75,2398800,22.75
2016-10-06,23.34,23.450001,22.76,23.02,3704200,23.02
2016-10-05,23.129999,23.60,23.049999,23.469999,2210200,23.469999
2016-10-04,22.950001,23.190001,22.90,23.059999,1482100,23.059999
2016-10-03,22.99,23.27,22.870001,22.90,1841400,22.90
2016-09-30,22.84,23.200001,22.02,23.10,2049000,23.10
2016-09-29,22.52,22.93,22.24,22.74,2114400,22.74
2016-09-28,22.52,22.59,22.120001,22.35,2172600,22.35
2016-09-27,21.51,22.51,21.440001,22.450001,2460300,22.450001
