Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,48.77,49.34,48.73,48.98,44800,48.98
2016-10-25,48.02,49.00,48.02,49.00,58500,49.00
2016-10-24,48.189999,48.700001,48.00,48.25,72300,48.25
2016-10-21,48.099998,48.91,47.82,48.189999,54200,48.189999
2016-10-20,47.200001,48.389999,46.400002,48.009998,88700,48.009998
2016-10-19,47.00,47.34,46.529999,47.07,31400,47.07
2016-10-18,46.549999,46.880001,45.50,46.84,44900,46.84
2016-10-17,45.740002,46.349998,45.419998,46.080002,71700,46.080002
2016-10-14,46.02,46.939999,45.990002,45.990002,78200,45.990002
2016-10-13,46.66,46.98,46.119999,46.540001,87900,46.540001
2016-10-12,47.689999,48.220001,46.889999,47.009998,96900,47.009998
2016-10-11,47.50,48.450001,47.389999,47.73,71700,47.73
2016-10-10,48.110001,48.59,47.400002,47.529999,77800,47.529999
2016-10-07,49.220001,49.459999,48.049999,48.189999,59400,48.189999
2016-10-06,50.040001,50.040001,48.799999,49.02,68200,49.02
2016-10-05,49.810001,50.040001,49.549999,49.610001,48600,49.610001
2016-10-04,49.869999,50.349998,49.810001,50.169998,42600,50.169998
2016-10-03,50.200001,50.990002,49.799999,49.849998,94200,49.849998
2016-09-30,50.34,50.68,49.57,50.549999,102500,50.549999
2016-09-29,49.650002,50.00,49.299999,49.860001,64300,49.860001
2016-09-28,49.59,49.91,48.82,49.759998,75400,49.759998
2016-09-27,49.799999,50.75,49.00,49.220001,321700,49.220001
