Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,138.220001,141.559998,138.220001,139.949997,1149100,139.949997
2016-10-25,141.669998,141.970001,137.940002,138.179993,1145900,138.179993
2016-10-24,142.479996,144.25,141.509995,142.270004,735100,142.270004
2016-10-21,142.00,142.169998,138.649994,141.800003,2114500,141.800003
2016-10-20,148.080002,148.080002,142.639999,142.830002,1600800,142.830002
2016-10-19,146.199997,148.080002,144.00,146.720001,1002400,146.720001
2016-10-18,143.149994,149.320007,142.690002,145.220001,2514600,145.220001
2016-10-17,138.50,141.860001,137.00,141.229996,1444300,141.229996
2016-10-14,138.419998,139.350006,136.570007,138.00,1465600,138.00
2016-10-13,135.669998,138.110001,135.130005,137.169998,2105300,137.169998
2016-10-12,139.970001,141.440002,136.00,136.179993,2882000,136.179993
2016-10-11,135.100006,140.889999,133.800003,138.990005,11025100,138.990005
2016-10-10,185.320007,186.710007,184.279999,184.850006,790600,184.850006
2016-10-07,185.820007,185.990005,183.600006,184.490005,771700,184.490005
2016-10-06,186.00,186.880005,183.149994,184.929993,806000,184.929993
2016-10-05,182.169998,186.600006,182.169998,186.169998,1118700,186.169998
2016-10-04,182.380005,186.610001,180.029999,181.220001,930100,181.220001
2016-10-03,184.490005,184.490005,179.039993,182.229996,1080400,182.229996
2016-09-30,177.440002,182.610001,176.710007,181.660004,1277600,181.660004
2016-09-29,179.339996,181.50,176.160004,176.559998,951100,176.559998
2016-09-28,180.309998,181.320007,178.550003,180.979996,661900,180.979996
2016-09-27,178.039993,181.00,177.899994,180.350006,793800,180.350006
