Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,37.049999,38.00,36.849998,37.349998,686200,37.349998
2016-10-25,37.900002,37.900002,36.849998,37.099998,864100,37.099998
2016-10-24,37.50,38.080002,37.349998,37.700001,766700,37.700001
2016-10-21,38.50,38.700001,37.200001,37.299999,1475400,37.299999
2016-10-20,39.200001,39.799999,38.48,38.700001,2366800,38.700001
2016-10-19,46.650002,46.650002,38.299999,39.200001,8993600,39.200001
2016-10-18,47.50,47.549999,46.450001,46.650002,920600,46.650002
2016-10-17,49.00,49.150002,46.50,46.900002,1476400,46.900002
2016-10-14,49.939999,50.279999,48.110001,49.029999,1044200,49.029999
2016-10-13,50.029999,50.259998,48.919998,49.709999,1307300,49.709999
2016-10-12,50.50,57.240002,50.459999,50.50,3018500,50.50
2016-10-11,51.810001,52.459999,51.099998,51.490002,1244700,51.490002
2016-10-10,52.610001,52.939999,51.66,51.68,1060900,51.68
2016-10-07,53.25,53.549999,51.50,52.57,1251300,52.57
2016-10-06,53.470001,54.200001,52.09,53.25,760800,53.25
2016-10-05,53.68,54.310001,53.389999,54.220001,897300,54.220001
2016-10-04,53.630001,54.130001,53.200001,53.560001,658100,53.560001
2016-10-03,53.279999,54.939999,52.75,53.779999,1218600,53.779999
2016-09-30,52.98,54.529999,52.98,53.709999,1028500,53.709999
2016-09-29,52.619999,53.470001,52.349998,52.720001,688300,52.720001
2016-09-28,52.959999,53.830002,52.220001,53.18,1207200,53.18
2016-09-27,51.41,53.00,51.41,52.810001,931700,52.810001
