Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,11.19,11.52,11.11,11.18,227700,11.18
2016-10-25,11.24,11.48,11.17,11.19,288200,11.19
2016-10-24,11.52,11.91,11.25,11.29,272400,11.29
2016-10-21,11.90,12.05,11.45,11.52,386200,11.52
2016-10-20,11.19,11.87,11.17,11.85,580200,11.85
2016-10-19,11.19,11.43,11.01,11.14,458000,11.14
2016-10-18,10.91,11.79,10.87,11.26,1089800,11.26
2016-10-17,11.05,11.17,10.59,10.88,515300,10.88
2016-10-14,11.74,11.99,11.00,11.05,719600,11.05
2016-10-13,11.50,12.50,11.21,11.80,1168700,11.80
2016-10-12,12.22,12.25,11.77,11.87,532400,11.87
2016-10-11,12.51,12.64,12.08,12.21,519100,12.21
2016-10-10,12.28,12.82,12.23,12.67,360100,12.67
2016-10-07,12.29,12.40,11.95,12.28,597000,12.28
2016-10-06,12.72,13.09,12.33,12.36,585100,12.36
2016-10-05,12.25,13.00,12.25,12.99,596900,12.99
2016-10-04,12.71,12.85,12.12,12.27,459500,12.27
2016-10-03,11.75,12.82,11.70,12.63,1792000,12.63
2016-09-30,11.92,12.00,11.55,11.79,895400,11.79
2016-09-29,12.68,12.71,11.95,12.08,830700,12.08
2016-09-28,12.99,13.14,12.47,12.72,577300,12.72
2016-09-27,12.45,12.81,12.27,12.80,522300,12.80
