Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,49.50,49.91,49.240002,49.48,121900,49.48
2016-10-25,49.810001,49.950001,49.68,49.689999,82000,49.689999
2016-10-24,49.790001,49.869999,49.650002,49.799999,152600,49.799999
2016-10-21,49.790001,49.950001,49.48,49.75,110500,49.75
2016-10-20,49.810001,50.25,49.650002,49.759998,80200,49.759998
2016-10-19,49.990002,50.330002,49.68,50.00,93200,50.00
2016-10-18,49.650002,50.080002,49.610001,49.950001,121900,49.950001
2016-10-17,49.740002,49.740002,49.32,49.630001,69700,49.630001
2016-10-14,49.650002,49.82,49.57,49.709999,70200,49.709999
2016-10-13,49.709999,49.939999,49.50,49.84,146000,49.84
2016-10-12,50.049999,50.049999,49.799999,49.880001,225000,49.880001
2016-10-11,50.490002,50.52,49.799999,50.16,577400,50.16
2016-10-10,50.849998,51.00,50.50,50.689999,96600,50.689999
2016-10-07,50.509998,50.610001,50.119999,50.549999,300200,50.549999
2016-10-06,50.580002,50.849998,50.209999,50.57,338800,50.57
2016-10-05,50.619999,51.02,50.400002,50.66,242500,50.66
2016-10-04,50.740002,51.200001,50.400002,50.470001,252700,50.470001
2016-10-03,50.939999,51.110001,50.419998,50.759998,122900,50.759998
2016-09-30,50.810001,51.209999,50.689999,50.919998,587000,50.919998
2016-09-29,51.080002,51.389999,50.400002,51.119999,733900,51.119999
2016-09-28,50.130001,51.490002,49.599998,51.360001,636900,51.360001
2016-09-27,49.43,50.630001,49.220001,50.400002,882000,50.400002
