Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,47.799999,50.84,47.099998,48.93,1856000,48.93
2016-10-25,44.799999,44.799999,43.849998,43.939999,298000,43.939999
2016-10-24,45.09,45.48,44.459999,44.52,197800,44.52
2016-10-21,45.380001,45.380001,44.439999,44.639999,396700,44.639999
2016-10-20,45.799999,46.150002,45.48,45.689999,323300,45.689999
2016-10-19,44.91,46.139999,44.630001,45.91,298200,45.91
2016-10-18,45.830002,46.50,43.709999,44.91,491500,44.91
2016-10-17,43.75,45.099998,43.650002,44.799999,527600,44.799999
2016-10-14,42.68,43.50,42.509998,43.330002,344200,43.330002
2016-10-13,42.610001,42.779999,42.060001,42.369999,187100,42.369999
2016-10-12,42.970001,43.139999,42.720001,42.93,97200,42.93
2016-10-11,43.689999,43.689999,42.459999,42.830002,164000,42.830002
2016-10-10,43.41,43.880001,43.00,43.59,118400,43.59
2016-10-07,45.009998,45.009998,42.91,43.099998,119800,43.099998
2016-10-06,43.34,43.669998,42.75,43.66,177900,43.66
2016-10-05,43.119999,43.549999,43.07,43.470001,204300,43.470001
2016-10-04,43.740002,43.790001,42.919998,43.09,181000,43.09
2016-10-03,43.740002,43.959999,43.240002,43.470001,233900,43.470001
2016-09-30,44.119999,44.189999,43.68,43.98,215800,43.98
2016-09-29,43.799999,44.669998,43.700001,43.84,360000,43.84
2016-09-28,43.619999,44.049999,43.279999,44.029999,335500,44.029999
2016-09-27,42.50,43.540001,42.50,43.50,299600,43.50
