Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,25.809999,26.09,25.74,25.870001,3640300,25.870001
2016-10-25,26.49,26.51,25.90,25.940001,2832500,25.940001
2016-10-24,26.719999,26.90,26.700001,26.709999,1992000,26.709999
2016-10-21,26.389999,26.610001,26.33,26.540001,2342900,26.540001
2016-10-20,26.719999,26.790001,26.50,26.610001,2951700,26.610001
2016-10-19,26.98,27.049999,26.700001,26.969999,3055000,26.969999
2016-10-18,26.92,27.07,26.790001,26.91,2402100,26.91
2016-10-17,26.559999,26.959999,26.559999,26.75,2109000,26.75
2016-10-14,26.860001,27.120001,26.76,26.76,3046400,26.76
2016-10-13,26.870001,26.91,26.620001,26.75,3535400,26.75
2016-10-12,27.00,27.26,26.92,27.09,2349600,27.09
2016-10-11,27.280001,27.280001,26.85,26.99,2495400,26.99
2016-10-10,27.40,27.57,27.33,27.35,1609800,27.35
2016-10-07,27.66,27.83,27.200001,27.219999,2951200,27.219999
2016-10-06,27.34,27.74,27.26,27.68,1201500,27.68
2016-10-05,27.360001,27.610001,27.35,27.43,1658800,27.43
2016-10-04,27.389999,27.60,27.18,27.24,1947900,27.24
2016-10-03,27.440001,27.52,27.290001,27.40,1311100,27.40
2016-09-30,27.49,27.65,27.32,27.549999,1274400,27.549999
2016-09-29,27.68,27.85,27.35,27.41,2155900,27.41
2016-09-28,27.559999,27.76,27.50,27.73,1487800,27.73
2016-09-27,27.360001,27.68,27.26,27.549999,1134200,27.549999
