Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,13.05,13.18,12.75,12.86,794900,12.86
2016-10-25,13.34,13.53,13.01,13.06,641000,13.06
2016-10-24,13.69,13.92,13.19,13.30,534500,13.30
2016-10-21,13.07,13.93,13.07,13.65,879100,13.65
2016-10-20,13.05,13.35,13.011,13.21,423800,13.21
2016-10-19,13.12,13.18,12.95,13.11,579800,13.11
2016-10-18,13.36,13.62,13.027,13.12,609000,13.12
2016-10-17,13.08,13.28,12.85,13.25,878100,13.25
2016-10-14,13.50,13.62,12.98,13.03,587300,13.03
2016-10-13,13.48,13.99,13.29,13.43,709800,13.43
2016-10-12,14.48,14.62,13.55,13.59,784600,13.59
2016-10-11,14.89,15.09,14.25,14.46,819700,14.46
2016-10-10,15.21,15.46,15.01,15.09,1092100,15.09
2016-10-07,14.91,15.20,14.64,15.145,853800,15.145
2016-10-06,14.81,14.89,14.48,14.83,809300,14.83
2016-10-05,14.61,15.255,14.345,14.94,1353900,14.94
2016-10-04,15.40,15.423,14.56,14.65,1545000,14.65
2016-10-03,15.24,15.75,15.20,15.46,1981600,15.46
2016-09-30,15.41,15.87,14.44,15.24,5549000,15.24
2016-09-29,15.41,16.23,14.88,15.42,15883600,15.42
2016-09-28,41.630001,42.400002,40.700001,42.349998,289100,42.349998
2016-09-27,40.549999,41.73,40.200001,41.52,419200,41.52
