Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,6.04,6.17,6.00,6.06,478600,6.06
2016-10-25,6.32,6.32,6.10,6.14,346600,6.14
2016-10-24,6.37,6.48,6.26,6.30,208200,6.30
2016-10-21,6.46,6.48,6.32,6.34,688300,6.34
2016-10-20,6.50,6.52,6.37,6.47,270100,6.47
2016-10-19,6.36,6.56,6.25,6.53,342200,6.53
2016-10-18,6.44,6.44,6.28,6.36,285500,6.36
2016-10-17,6.36,6.36,6.20,6.25,394600,6.25
2016-10-14,6.40,6.48,6.36,6.37,330100,6.37
2016-10-13,6.76,6.76,6.18,6.36,526000,6.36
2016-10-12,6.58,6.58,6.41,6.44,539600,6.44
2016-10-11,6.80,6.86,6.55,6.58,473700,6.58
2016-10-10,6.74,6.92,6.70,6.87,359900,6.87
2016-10-07,6.85,6.99,6.68,6.68,715200,6.68
2016-10-06,6.85,7.15,6.74,6.85,1653500,6.85
2016-10-05,5.98,6.64,5.96,6.59,1489300,6.59
2016-10-04,6.01,6.03,5.91,5.94,237700,5.94
2016-10-03,5.96,6.07,5.94,6.01,205400,6.01
2016-09-30,6.10,6.19,5.92,6.01,512200,6.01
2016-09-29,6.15,6.25,6.05,6.12,675300,6.12
2016-09-28,6.06,6.23,6.04,6.13,322700,6.13
2016-09-27,5.93,6.07,5.88,6.06,406300,6.06
