Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,26.32,26.57,26.139999,26.48,4680000,26.48
2016-10-25,26.549999,26.690001,26.25,26.42,4902400,26.42
2016-10-24,27.00,27.120001,26.09,26.50,11741300,26.50
2016-10-21,26.610001,26.90,26.58,26.870001,5368600,26.870001
2016-10-20,26.17,26.855,26.17,26.65,8381400,26.65
2016-10-19,26.360001,26.58,26.09,26.299999,6073500,26.299999
2016-10-18,26.780001,26.790001,26.200001,26.26,5754400,26.26
2016-10-17,26.299999,26.84,26.139999,26.309999,5593200,26.309999
2016-10-14,26.719999,26.780001,26.27,26.50,7110400,26.50
2016-10-13,26.15,26.27,25.530001,26.27,14027600,26.27
2016-10-12,26.610001,26.82,26.34,26.59,8227600,26.59
2016-10-11,27.24,27.405001,26.58,26.75,7285100,26.75
2016-10-10,27.040001,27.51,26.77,27.299999,7989100,27.299999
2016-10-07,27.40,27.50,26.799999,27.030001,9607400,27.030001
2016-10-06,28.450001,28.530001,26.959999,27.40,15635300,27.40
2016-10-05,27.59,28.09,27.280001,27.93,23699700,27.93
2016-10-04,26.15,29.235001,26.125,27.49,29533300,27.49
2016-10-03,26.030001,26.129999,25.700001,26.110001,9348900,26.110001
2016-09-30,26.01,26.32,25.92,26.09,6577300,26.09
2016-09-29,26.219999,26.48,25.799999,25.98,16217600,25.98
2016-09-28,26.639999,26.870001,26.01,26.290001,9455700,26.290001
2016-09-27,26.60,27.290001,26.549999,26.68,12270300,26.68
