Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,24.51,24.59,24.280001,24.360001,164600,24.360001
2016-10-25,23.799999,24.43,23.799999,24.379999,273500,24.379999
2016-10-24,23.48,23.540001,23.280001,23.32,84400,23.32
2016-10-21,23.129999,23.219999,23.00,23.02,87300,23.02
2016-10-20,23.26,23.309999,22.809999,23.01,112900,23.01
2016-10-19,23.290001,23.41,23.23,23.309999,89500,23.309999
2016-10-18,23.43,23.59,23.360001,23.360001,154700,23.360001
2016-10-17,22.959999,23.23,22.90,23.18,158200,23.18
2016-10-14,22.82,23.00,22.799999,22.879999,81200,22.879999
2016-10-13,22.549999,22.57,22.389999,22.450001,106900,22.450001
2016-10-12,22.299999,22.459999,22.129999,22.389999,49900,22.389999
2016-10-11,22.32,22.379999,22.16,22.190001,42600,22.190001
2016-10-10,22.01,22.58,22.01,22.50,85600,22.50
2016-10-07,21.67,21.93,21.559999,21.68,83900,21.68
2016-10-06,21.66,21.67,21.32,21.360001,443500,21.360001
2016-10-05,21.98,22.09,21.73,21.83,128700,21.83
2016-10-04,21.60,21.799999,21.50,21.709999,296700,21.709999
2016-10-03,21.99,21.99,21.59,21.67,256200,21.67
2016-09-30,22.32,22.440001,22.16,22.26,49400,22.26
2016-09-29,22.530001,22.67,22.030001,22.040001,157400,22.040001
2016-09-28,22.50,22.799999,22.219999,22.59,124200,22.59
2016-09-27,22.459999,22.780001,22.370001,22.700001,124700,22.700001
