Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,26.99,27.496,26.219999,26.290001,1103200,26.290001
2016-10-25,28.16,28.17,26.950001,26.99,916600,26.99
2016-10-24,28.309999,28.799999,28.139999,28.139999,1001100,28.139999
2016-10-21,27.27,29.207001,27.16,28.469999,1326900,28.469999
2016-10-20,26.50,27.52,26.50,27.41,1227200,27.41
2016-10-19,27.639999,27.65,26.530001,26.540001,1349400,26.540001
2016-10-18,27.49,27.98,27.33,27.73,1106300,27.73
2016-10-17,27.98,27.98,26.90,27.17,928900,27.17
2016-10-14,27.610001,28.41,27.451,27.99,1884800,27.99
2016-10-13,26.959999,27.903,26.67,27.440001,1319700,27.440001
2016-10-12,28.82,29.02,27.01,27.09,1894800,27.09
2016-10-11,29.73,30.360001,28.719999,29.00,1048000,29.00
2016-10-10,29.40,30.139999,29.125,30.049999,851100,30.049999
2016-10-07,28.950001,29.549999,28.50,29.17,1093800,29.17
2016-10-06,29.209999,29.396999,28.360001,28.940001,1280900,28.940001
2016-10-05,29.18,29.77,28.809999,29.65,1076000,29.65
2016-10-04,29.73,30.129999,29.049999,29.190001,839500,29.190001
2016-10-03,29.799999,30.049999,28.885,29.799999,1329800,29.799999
2016-09-30,30.120001,30.49,29.65,30.01,1456600,30.01
2016-09-29,31.870001,32.130001,29.959999,29.99,1686900,29.99
2016-09-28,33.59,33.611,30.77,31.299999,2611600,31.299999
2016-09-27,30.889999,33.740002,30.299999,33.419998,5110900,33.419998
