Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,13.93,13.95,13.71,13.72,564100,13.72
2016-10-25,13.72,13.94,13.72,13.93,852300,13.93
2016-10-24,14.15,14.26,13.79,13.86,837300,13.86
2016-10-21,14.01,14.28,13.97,14.27,777300,14.27
2016-10-20,14.02,14.68,13.61,14.26,1557800,14.26
2016-10-19,15.40,15.41,15.16,15.36,346600,15.36
2016-10-18,15.29,15.48,15.17,15.31,255600,15.31
2016-10-17,15.06,15.21,15.01,15.11,224400,15.11
2016-10-14,15.08,15.17,14.86,15.12,230000,15.12
2016-10-13,15.15,15.36,14.87,15.06,354500,15.06
2016-10-12,15.18,15.19,15.08,15.12,199400,15.12
2016-10-11,15.30,15.31,15.09,15.18,407100,15.18
2016-10-10,15.42,15.62,15.30,15.31,311400,15.31
2016-10-07,15.43,15.56,15.30,15.39,267700,15.39
2016-10-06,15.52,15.52,15.34,15.43,266000,15.43
2016-10-05,15.43,15.54,15.36,15.52,333500,15.52
2016-10-04,15.45,15.58,15.32,15.39,212500,15.39
2016-10-03,15.44,15.59,15.34,15.45,210200,15.45
2016-09-30,15.47,15.60,15.33,15.53,329000,15.53
2016-09-29,15.33,15.59,15.29,15.35,282100,15.35
2016-09-28,15.33,15.44,15.06,15.34,362400,15.34
2016-09-27,15.37,15.45,15.17,15.44,449700,15.44
