Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,14.77,15.14,14.74,14.87,2367500,14.87
2016-10-25,14.69,15.07,14.59,14.88,7098900,14.88
2016-10-24,14.14,14.63,14.14,14.48,2632700,14.48
2016-10-21,13.80,14.18,13.80,14.02,1598000,14.02
2016-10-20,13.88,13.99,13.83,13.89,3612700,13.89
2016-10-19,13.72,13.90,13.70,13.88,1510800,13.88
2016-10-18,13.80,13.88,13.70,13.72,1448800,13.72
2016-10-17,13.79,13.85,13.63,13.64,1376300,13.64
2016-10-14,13.92,14.02,13.69,13.75,1284900,13.75
2016-10-13,13.91,13.94,13.69,13.77,9175700,13.77
2016-10-12,14.22,14.25,13.97,14.00,4329100,14.00
2016-10-11,14.37,14.38,14.19,14.24,2352000,14.24
2016-10-10,14.25,14.49,14.25,14.37,1295200,14.37
2016-10-07,14.26,14.32,14.14,14.23,1062100,14.23
2016-10-06,14.36,14.41,14.18,14.26,1332000,14.26
2016-10-05,14.23,14.42,14.22,14.36,1254200,14.36
2016-10-04,14.34,14.36,14.15,14.20,1552900,14.20
2016-10-03,14.24,14.41,14.22,14.27,1314000,14.27
2016-09-30,14.05,14.36,14.04,14.26,5548300,14.26
2016-09-29,14.12,14.31,14.04,14.05,1364500,14.05
2016-09-28,14.03,14.17,13.97,14.14,1003800,14.14
2016-09-27,13.99,14.13,13.91,14.01,1286100,14.01
