Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,8.46,8.54,8.25,8.35,171500,8.35
2016-10-25,8.60,8.64,8.34,8.45,165700,8.45
2016-10-24,8.65,8.67,8.46,8.48,78600,8.48
2016-10-21,8.48,9.06,8.28,8.59,240000,8.59
2016-10-20,8.38,8.615,8.31,8.57,331000,8.57
2016-10-19,8.65,8.77,8.33,8.45,153100,8.45
2016-10-18,8.60,8.73,8.49,8.62,630700,8.62
2016-10-17,8.64,8.64,8.271,8.50,202900,8.50
2016-10-14,9.21,9.39,8.60,8.61,164500,8.61
2016-10-13,8.88,9.30,8.61,9.12,264300,9.12
2016-10-12,9.27,9.695,8.92,8.97,1084600,8.97
2016-10-11,9.67,9.72,9.22,9.37,173400,9.37
2016-10-10,9.66,9.98,9.65,9.77,347000,9.77
2016-10-07,9.70,10.13,9.36,9.56,166200,9.56
2016-10-06,10.06,10.10,9.70,9.71,223200,9.71
2016-10-05,10.06,10.24,9.89,10.11,273600,10.11
2016-10-04,9.86,10.15,9.86,9.92,280000,9.92
2016-10-03,9.80,9.96,9.631,9.86,278100,9.86
2016-09-30,9.54,9.83,9.40,9.73,371300,9.73
2016-09-29,9.68,9.80,9.427,9.45,192600,9.45
2016-09-28,9.77,9.88,9.40,9.73,189700,9.73
2016-09-27,9.35,9.74,9.34,9.69,250100,9.69
