Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,43.290001,43.889999,43.18,43.700001,5987800,43.700001
2016-10-25,43.419998,43.740002,43.25,43.380001,2927000,43.380001
2016-10-24,43.50,43.75,43.380001,43.540001,3964000,43.540001
2016-10-21,42.77,43.23,42.650002,43.189999,3653200,43.189999
2016-10-20,42.869999,43.360001,42.740002,43.07,3960300,43.07
2016-10-19,42.330002,43.080002,42.27,42.950001,5573100,42.950001
2016-10-18,42.040001,42.189999,41.709999,42.119999,2537500,42.119999
2016-10-17,42.049999,42.169998,41.599998,41.709999,3059400,41.709999
2016-10-14,42.349998,42.50,41.860001,42.00,4120200,42.00
2016-10-13,42.290001,42.66,41.360001,41.790001,7769000,41.790001
2016-10-12,42.900002,43.189999,42.82,42.830002,5177900,42.830002
2016-10-11,43.50,43.619999,42.68,42.900002,5531300,42.900002
2016-10-10,43.59,43.700001,43.360001,43.470001,4115800,43.470001
2016-10-07,43.09,43.419998,42.77,43.240002,6360300,43.240002
2016-10-06,43.650002,43.650002,42.939999,43.209999,4761000,43.209999
2016-10-05,42.630001,43.450001,42.560001,43.279999,6534100,43.279999
2016-10-04,42.060001,42.720001,41.98,42.459999,6768800,42.459999
2016-10-03,42.049999,42.310001,41.82,41.860001,3648600,41.860001
2016-09-30,41.799999,42.41,41.57,42.27,3533500,42.27
2016-09-29,42.23,42.470001,41.389999,41.52,7526600,41.52
2016-09-28,41.880001,42.220001,41.549999,42.220001,2720000,42.220001
2016-09-27,41.049999,41.709999,40.970001,41.709999,3703900,41.709999
