Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,30.790001,31.129999,30.75,30.90,4856100,30.90
2016-10-25,31.059999,31.059999,30.860001,30.91,4300300,30.91
2016-10-24,30.85,31.290001,30.84,31.18,5322000,31.18
2016-10-21,30.98,31.09,30.65,30.76,8730300,30.76
2016-10-20,31.030001,31.16,30.790001,30.92,8740800,30.92
2016-10-19,30.49,31.059999,30.26,31.01,10211800,31.01
2016-10-18,30.860001,30.940001,30.50,30.639999,9959500,30.639999
2016-10-17,31.33,31.34,30.690001,30.83,10576500,30.83
2016-10-14,31.17,31.58,31.01,31.27,14820100,31.27
2016-10-13,31.07,31.17,30.60,31.129999,14246300,31.129999
2016-10-12,30.24,31.440001,29.969999,31.17,31126500,31.17
2016-10-11,29.309999,30.209999,29.24,30.110001,17782800,30.110001
2016-10-10,29.00,29.389999,28.950001,29.049999,7665700,29.049999
2016-10-07,29.370001,29.59,29.00,29.00,11322800,29.00
2016-10-06,28.75,29.60,28.709999,29.370001,17280800,29.370001
2016-10-05,28.969999,29.110001,28.76,28.84,27597900,28.84
2016-10-04,29.25,29.389999,28.879999,29.00,11173200,29.00
2016-10-03,29.57,29.690001,29.25,29.280001,7800200,29.280001
2016-09-30,29.51,29.99,29.51,29.68,26199600,29.68
2016-09-29,29.84,29.860001,29.49,29.50,12814500,29.50
2016-09-28,29.969999,30.120001,29.68,29.84,10820100,29.84
2016-09-27,30.049999,30.17,29.84,29.90,9877300,29.90
