Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,21.75,21.950001,20.950001,21.40,569600,21.40
2016-10-25,21.299999,22.00,21.25,21.950001,794200,21.950001
2016-10-24,21.40,21.950001,20.90,21.50,798800,21.50
2016-10-21,21.90,22.299999,21.299999,21.40,1017400,21.40
2016-10-20,22.35,23.00,21.90,22.049999,1007100,22.049999
2016-10-19,22.75,23.00,21.65,22.60,1051300,22.60
2016-10-18,21.799999,22.85,21.200001,22.85,1532300,22.85
2016-10-17,24.50,24.50,21.225,21.65,3063400,21.65
2016-10-14,25.90,26.15,24.50,24.85,719800,24.85
2016-10-13,24.700001,26.00,24.555,25.799999,695700,25.799999
2016-10-12,25.549999,26.00,24.799999,25.049999,483700,25.049999
2016-10-11,25.60,26.299999,25.049999,25.60,662500,25.60
2016-10-10,25.450001,26.200001,25.450001,26.049999,594900,26.049999
2016-10-07,26.709999,26.809999,24.700001,25.59,1991200,25.59
2016-10-06,27.690001,28.08,26.440001,26.74,1447700,26.74
2016-10-05,27.08,28.209999,26.940001,27.82,702900,27.82
2016-10-04,26.969999,27.540001,26.780001,27.10,624500,27.10
2016-10-03,26.459999,27.09,26.15,27.08,818800,27.08
2016-09-30,26.790001,27.35,26.34,26.57,929900,26.57
2016-09-29,27.889999,28.040001,26.280001,26.790001,1532600,26.790001
2016-09-28,28.719999,29.139999,27.99,28.059999,1085900,28.059999
2016-09-27,28.16,28.959999,28.139999,28.74,1106400,28.74
