Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,112.269997,112.699997,111.400002,112.110001,3739200,112.110001
2016-10-25,113.50,113.540001,112.669998,112.720001,4879000,112.720001
2016-10-24,114.25,114.50,112.639999,113.57,6173500,113.57
2016-10-21,113.269997,114.50,112.75,113.93,10108000,113.93
2016-10-20,111.300003,111.300003,110.330002,110.57,7250700,110.57
2016-10-19,111.709999,111.769997,111.120003,111.260002,6433400,111.260002
2016-10-18,112.889999,113.089996,111.230003,111.25,6198400,111.25
2016-10-17,113.910004,114.400002,112.099998,112.410004,5655700,112.410004
2016-10-14,114.900002,115.110001,114.07,114.089996,5312500,114.089996
2016-10-13,114.139999,115.739998,114.07,115.410004,4464700,115.410004
2016-10-12,113.599998,115.230003,113.540001,114.709999,3340200,114.709999
2016-10-11,114.650002,115.230003,113.559998,113.68,3943300,113.68
2016-10-10,114.209999,114.989998,114.160004,114.709999,3290300,114.709999
2016-10-07,113.970001,114.339996,113.220001,113.449997,4153100,113.449997
2016-10-06,113.25,114.220001,112.400002,113.919998,3900000,113.919998
2016-10-05,113.910004,114.830002,113.379997,113.410004,3720300,113.410004
2016-10-04,114.989998,115.510002,113.419998,113.50,4742900,113.50
2016-10-03,115.010002,115.150002,114.410004,114.639999,3085800,114.639999
2016-09-30,114.690002,115.709999,114.690002,115.360001,4188700,115.360001
2016-09-29,115.199997,115.970001,114.730003,114.790001,4924400,114.790001
2016-09-28,116.379997,116.529999,114.459999,115.18,5638900,115.18
2016-09-27,116.949997,117.199997,116.370003,116.879997,3745400,116.879997
