Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,12.33,12.37,12.15,12.26,909000,12.26
2016-10-25,12.60,12.63,12.31,12.34,1228500,12.34
2016-10-24,12.60,12.71,12.53,12.56,1302300,12.56
2016-10-21,12.76,12.77,12.27,12.48,3384800,12.48
2016-10-20,12.86,12.95,12.69,12.84,1301600,12.84
2016-10-19,13.16,13.25,12.88,12.89,1630600,12.89
2016-10-18,13.17,13.25,13.11,13.24,1393000,13.24
2016-10-17,13.08,13.11,12.90,13.01,1987300,13.01
2016-10-14,13.06,13.18,12.99,13.04,2101400,13.04
2016-10-13,12.95,13.10,12.88,13.02,1537900,13.02
2016-10-12,12.86,13.04,12.80,13.00,1849600,13.00
2016-10-11,13.28,13.28,12.71,12.89,2883300,12.89
2016-10-10,13.17,13.51,13.17,13.38,1232900,13.38
2016-10-07,13.06,13.21,13.00,13.09,1856600,13.09
2016-10-06,13.11,13.20,12.92,13.00,2020900,13.00
2016-10-05,13.05,13.25,13.03,13.04,2492400,13.04
2016-10-04,13.15,13.20,12.97,13.05,1428000,13.05
2016-10-03,13.14,13.17,13.00,13.12,1156100,13.12
2016-09-30,13.03,13.23,12.91,13.17,1589900,13.17
2016-09-29,13.20,13.24,12.87,12.91,2304400,12.91
2016-09-28,13.13,13.27,12.98,13.17,1450100,13.17
2016-09-27,12.97,13.12,12.93,13.07,1968200,13.07
