Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,1.30,1.40,1.30,1.37,484800,1.37
2016-10-25,1.35,1.38,1.22,1.35,1264500,1.35
2016-10-24,1.47,1.47,1.37,1.38,623600,1.38
2016-10-21,1.49,1.54,1.43,1.45,1233200,1.45
2016-10-20,1.54,1.63,1.54,1.59,170400,1.59
2016-10-19,1.50,1.60,1.50,1.57,529500,1.57
2016-10-18,1.45,1.50,1.45,1.50,354900,1.50
2016-10-17,1.52,1.54,1.45,1.45,599700,1.45
2016-10-14,1.54,1.60,1.53,1.54,361700,1.54
2016-10-13,1.56,1.57,1.51,1.55,309500,1.55
2016-10-12,1.57,1.60,1.55,1.57,261700,1.57
2016-10-11,1.62,1.62,1.51,1.57,305600,1.57
2016-10-10,1.57,1.67,1.57,1.62,379800,1.62
2016-10-07,1.68,1.71,1.56,1.56,348900,1.56
2016-10-06,1.70,1.73,1.67,1.70,244800,1.70
2016-10-05,1.64,1.73,1.64,1.68,497400,1.68
2016-10-04,1.62,1.69,1.59,1.63,201700,1.63
2016-10-03,1.78,1.78,1.61,1.62,473700,1.62
2016-09-30,1.61,1.79,1.53,1.78,578900,1.78
2016-09-29,1.61,1.67,1.55,1.61,619600,1.61
2016-09-28,1.57,1.68,1.48,1.58,937600,1.58
2016-09-27,1.56,1.59,1.56,1.57,342800,1.57
