Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,42.950001,44.50,42.75,43.200001,872300,43.200001
2016-10-25,41.75,43.150002,41.00,43.099998,958300,43.099998
2016-10-24,41.50,41.849998,41.299999,41.549999,546200,41.549999
2016-10-21,41.299999,41.349998,40.549999,41.25,761300,41.25
2016-10-20,42.049999,42.50,41.099998,41.299999,450400,41.299999
2016-10-19,41.450001,42.50,40.50,42.200001,770200,42.200001
2016-10-18,41.799999,42.400002,41.50,41.50,395100,41.50
2016-10-17,41.75,42.00,41.400002,41.450001,202700,41.450001
2016-10-14,41.400002,42.07,41.32,41.830002,614200,41.830002
2016-10-13,41.419998,41.709999,40.919998,41.299999,572700,41.299999
2016-10-12,41.889999,41.959999,41.389999,41.84,503700,41.84
2016-10-11,42.990002,42.990002,41.740002,42.119999,732200,42.119999
2016-10-10,43.07,43.50,42.759998,43.00,499800,43.00
2016-10-07,42.799999,43.209999,42.580002,42.830002,577800,42.830002
2016-10-06,43.669998,43.799999,42.59,42.93,813000,42.93
2016-10-05,44.25,44.529999,43.82,43.860001,692100,43.860001
2016-10-04,43.560001,44.209999,43.540001,44.080002,414600,44.080002
2016-10-03,43.330002,43.830002,43.18,43.57,346200,43.57
2016-09-30,43.720001,44.130001,43.150002,43.25,636000,43.25
2016-09-29,43.150002,44.040001,42.900002,43.720001,792100,43.720001
2016-09-28,42.669998,43.240002,41.830002,43.049999,430800,43.049999
2016-09-27,41.970001,42.759998,41.50,42.700001,435900,42.700001
