Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,26.200001,26.610001,25.629999,26.08,1624000,26.08
2016-10-25,26.50,27.00,26.030001,26.51,3088200,26.51
2016-10-24,24.59,26.879999,24.59,26.610001,5623000,26.610001
2016-10-21,24.66,24.77,24.049999,24.48,1208400,24.48
2016-10-20,24.50,24.879,24.299999,24.639999,2069900,24.639999
2016-10-19,24.370001,24.59,23.870001,24.25,2183500,24.25
2016-10-18,23.879999,24.450001,23.799999,24.09,1883200,24.09
2016-10-17,23.40,24.035999,23.309999,23.51,1465800,23.51
2016-10-14,24.780001,25.15,23.459999,23.50,3180500,23.50
2016-10-13,23.58,24.18,22.549999,24.110001,4863700,24.110001
2016-10-12,24.82,25.219999,24.10,24.290001,3024800,24.290001
2016-10-11,25.799999,26.01,24.43,24.82,4122800,24.82
2016-10-10,23.91,26.65,23.91,26.18,6154900,26.18
2016-10-07,24.33,24.780001,23.299999,23.60,2058000,23.60
2016-10-06,24.67,25.27,23.75,24.41,2911200,24.41
2016-10-05,24.620001,26.24,24.040001,24.85,7683900,24.85
2016-10-04,22.200001,24.68,22.200001,24.48,6505100,24.48
2016-10-03,22.620001,22.620001,21.41,22.09,1828500,22.09
2016-09-30,23.00,23.188999,22.309999,22.50,1944900,22.50
2016-09-29,23.10,23.92,22.540001,22.799999,2177900,22.799999
2016-09-28,23.50,23.50,22.120001,23.059999,1941100,23.059999
2016-09-27,22.700001,23.74,22.700001,23.299999,2737100,23.299999
