Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,13.05,13.51,13.05,13.40,5967700,13.40
2016-10-25,13.10,13.32,12.97,13.16,3577600,13.16
2016-10-24,12.95,13.08,12.91,13.07,1943300,13.07
2016-10-21,12.99,13.07,12.84,12.90,2681100,12.90
2016-10-20,12.91,13.13,12.85,13.05,3425900,13.05
2016-10-19,12.84,13.02,12.76,12.91,3772700,12.91
2016-10-18,13.00,13.04,12.94,13.01,2187700,13.01
2016-10-17,12.92,13.02,12.78,12.87,3287300,12.87
2016-10-14,13.10,13.20,12.98,13.00,3459100,13.00
2016-10-13,12.80,13.05,12.58,13.00,4670200,13.00
2016-10-12,13.16,13.20,12.79,12.94,4371900,12.94
2016-10-11,13.14,13.20,12.73,12.83,5039800,12.83
2016-10-10,13.16,13.26,13.08,13.17,1666600,13.17
2016-10-07,13.16,13.18,13.03,13.11,2538500,13.11
2016-10-06,13.13,13.20,12.98,13.18,1914400,13.18
2016-10-05,13.10,13.24,13.09,13.17,2248900,13.17
2016-10-04,13.07,13.23,12.95,13.02,3315100,13.02
2016-10-03,13.20,13.33,13.00,13.02,4013100,13.02
2016-09-30,13.25,13.56,13.25,13.27,7375600,13.27
2016-09-29,13.18,13.46,13.05,13.24,6707500,13.24
2016-09-28,13.15,13.45,13.04,13.17,7100700,13.17
2016-09-27,12.83,13.10,12.77,13.09,5479200,13.09
