Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,8.50,8.57,8.40,8.45,5464700,8.45
2016-10-25,8.68,8.75,8.51,8.53,7284800,8.53
2016-10-24,8.68,8.82,8.64,8.71,4780700,8.71
2016-10-21,8.40,8.66,8.36,8.62,7709400,8.62
2016-10-20,8.50,8.60,8.48,8.54,3507700,8.54
2016-10-19,8.42,8.62,8.42,8.57,5230900,8.57
2016-10-18,8.35,8.46,8.15,8.44,11683800,8.44
2016-10-17,8.10,8.15,8.02,8.03,5960600,8.03
2016-10-14,8.02,8.14,7.99,7.99,3162200,7.99
2016-10-13,8.00,8.03,7.84,7.96,3670200,7.96
2016-10-12,7.97,8.15,7.97,8.09,6891300,8.09
2016-10-11,7.91,8.02,7.91,7.96,4186500,7.96
2016-10-10,7.96,8.06,7.96,7.98,4484000,7.98
2016-10-07,7.95,8.01,7.86,7.89,2712100,7.89
2016-10-06,8.00,8.03,7.94,7.97,2488100,7.97
2016-10-05,8.05,8.15,8.00,8.00,2433700,8.00
2016-10-04,8.07,8.11,7.95,8.02,2896500,8.02
2016-10-03,7.98,8.02,7.92,7.99,3211500,7.99
2016-09-30,7.99,8.08,7.91,8.00,2762000,8.00
2016-09-29,8.00,8.07,7.86,7.92,4175200,7.92
2016-09-28,8.00,8.05,7.87,8.01,4154300,8.01
2016-09-27,7.88,8.01,7.86,7.98,4381400,7.98
