Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,11.89,12.00,11.86,11.98,287400,11.98
2016-10-25,12.07,12.09,11.71,11.94,452500,11.94
2016-10-24,12.21,12.32,12.00,12.10,260000,12.10
2016-10-21,11.90,12.16,11.87,12.10,332100,12.10
2016-10-20,12.08,12.18,11.97,12.03,493300,12.03
2016-10-19,12.11,12.18,11.92,12.08,521800,12.08
2016-10-18,12.32,12.49,12.13,12.13,713500,12.13
2016-10-17,11.81,12.10,11.76,12.02,762600,12.02
2016-10-14,12.37,12.37,11.75,11.88,1780800,11.88
2016-10-13,11.71,13.38,11.69,12.32,2375600,12.32
2016-10-12,13.95,14.19,13.86,14.03,430700,14.03
2016-10-11,14.01,14.21,13.96,13.98,264600,13.98
2016-10-10,14.12,14.30,14.01,14.10,339700,14.10
2016-10-07,14.11,14.18,13.91,14.04,266100,14.04
2016-10-06,14.51,14.53,14.11,14.13,258800,14.13
2016-10-05,14.43,14.90,14.32,14.55,626200,14.55
2016-10-04,14.66,14.90,14.39,14.53,414400,14.40
2016-10-03,14.52,14.69,14.18,14.68,369000,14.548658
2016-09-30,14.69,14.70,14.46,14.47,423500,14.340537
2016-09-29,14.75,14.88,14.43,14.54,380600,14.40991
2016-09-28,14.97,15.00,14.71,14.77,330000,14.637853
2016-09-27,14.96,15.11,14.80,14.88,417000,14.746869
