Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,13.08,13.25,13.01,13.14,2320600,13.14
2016-10-25,13.11,13.275,13.01,13.15,2393500,13.15
2016-10-24,13.10,13.34,13.10,13.19,2562100,13.19
2016-10-21,13.15,13.27,13.02,13.03,3928600,13.03
2016-10-20,13.35,13.63,13.14,13.21,3806400,13.21
2016-10-19,14.00,14.23,13.27,13.45,6421400,13.45
2016-10-18,13.74,13.939,13.40,13.61,3688300,13.61
2016-10-17,13.87,13.97,13.53,13.565,4250800,13.565
2016-10-14,14.04,14.16,13.83,13.91,2940300,13.91
2016-10-13,13.97,14.02,13.78,13.90,2495900,13.90
2016-10-12,14.13,14.26,14.093,14.11,2550400,14.11
2016-10-11,14.33,14.44,14.03,14.11,3863500,14.11
2016-10-10,14.69,14.79,14.33,14.37,3804000,14.37
2016-10-07,14.72,14.755,14.54,14.56,2298700,14.56
2016-10-06,14.75,14.825,14.555,14.71,2396200,14.71
2016-10-05,14.73,14.92,14.64,14.78,3584700,14.78
2016-10-04,14.35,14.70,14.31,14.64,2982900,14.64
2016-10-03,14.37,14.49,14.22,14.33,3433900,14.33
2016-09-30,14.41,14.68,14.12,14.47,3148300,14.47
2016-09-29,14.55,14.66,14.16,14.31,3676100,14.31
2016-09-28,14.52,14.635,14.29,14.56,2323500,14.56
2016-09-27,13.94,14.56,13.902,14.49,4190800,14.49
