Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,12.46,12.93,12.15,12.27,8889200,12.27
2016-10-25,12.97,13.23,12.76,12.77,6342500,12.77
2016-10-24,13.15,13.15,12.72,13.04,4906100,13.04
2016-10-21,13.02,13.10,12.76,13.05,6290200,13.05
2016-10-20,13.00,13.31,12.88,13.12,6187500,13.12
2016-10-19,13.41,13.62,13.13,13.26,6682700,13.26
2016-10-18,12.99,13.15,12.82,13.14,7239900,13.14
2016-10-17,12.91,12.98,12.68,12.68,3763500,12.68
2016-10-14,13.24,13.32,12.83,12.87,4686100,12.87
2016-10-13,12.79,13.20,12.68,13.11,6794500,13.11
2016-10-12,12.87,13.10,12.76,12.88,5175300,12.88
2016-10-11,12.85,13.06,12.67,13.03,5222400,13.03
2016-10-10,12.85,13.11,12.85,12.93,7089900,12.93
2016-10-07,12.72,12.86,12.56,12.60,6156300,12.60
2016-10-06,12.62,12.89,12.43,12.71,6944800,12.71
2016-10-05,12.25,12.74,12.25,12.50,7872400,12.50
2016-10-04,12.33,12.46,11.86,11.94,8210300,11.94
2016-10-03,12.26,12.43,11.94,12.30,6131900,12.30
2016-09-30,11.95,12.33,11.77,12.16,7035700,12.16
2016-09-29,11.38,12.01,11.33,11.80,13542800,11.80
2016-09-28,10.31,11.27,10.24,11.26,12113800,11.26
2016-09-27,10.03,10.21,9.86,10.17,9046000,10.17
