Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,31.940001,36.41,31.940001,34.639999,5487200,34.639999
2016-10-25,30.82,30.90,30.129999,30.25,996800,30.25
2016-10-24,30.43,30.969999,30.34,30.92,759500,30.92
2016-10-21,30.190001,30.469999,29.98,30.41,594500,30.41
2016-10-20,30.559999,30.690001,30.200001,30.370001,531500,30.370001
2016-10-19,30.459999,30.969999,30.32,30.66,837000,30.66
2016-10-18,30.299999,30.48,30.08,30.290001,439700,30.290001
2016-10-17,29.85,30.059999,29.83,29.889999,406500,29.889999
2016-10-14,30.48,30.790001,29.85,29.85,647400,29.85
2016-10-13,30.58,30.59,29.860001,30.26,624200,30.26
2016-10-12,30.950001,31.24,30.75,30.879999,516300,30.879999
2016-10-11,31.52,31.60,30.530001,30.90,744300,30.90
2016-10-10,32.200001,32.650002,31.57,31.57,599100,31.57
2016-10-07,32.50,32.560001,31.75,31.950001,595700,31.950001
2016-10-06,32.049999,32.490002,31.85,32.419998,892500,32.419998
2016-10-05,31.66,32.43,31.66,32.040001,1159100,32.040001
2016-10-04,31.92,32.130001,31.290001,31.51,699900,31.51
2016-10-03,32.150002,32.150002,31.48,31.809999,553500,31.809999
2016-09-30,31.969999,32.400002,31.799999,32.189999,689600,32.189999
2016-09-29,32.25,32.25,31.43,31.65,568600,31.65
2016-09-28,32.040001,32.32,31.620001,32.139999,948600,32.139999
2016-09-27,31.85,32.110001,31.57,31.91,540100,31.91
