Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,25.48,25.58,25.459999,25.530001,256400,25.530001
2016-10-25,25.52,25.549999,25.440001,25.440001,192700,25.440001
2016-10-24,25.50,25.52,25.450001,25.48,48200,25.48
2016-10-21,25.40,25.427,25.389999,25.389999,72200,25.389999
2016-10-20,25.440001,25.48,25.389999,25.40,84100,25.40
2016-10-19,25.450001,25.476,25.379999,25.42,76500,25.42
2016-10-18,25.469999,25.50,25.370001,25.42,74700,25.42
2016-10-17,25.450001,25.450001,25.299999,25.33,85800,25.33
2016-10-14,25.360001,25.440001,25.34,25.379999,158400,25.379999
2016-10-13,25.389999,25.389999,25.25,25.25,145400,25.25
2016-10-12,25.459999,25.459999,25.25,25.27,172500,25.27
2016-10-11,25.549999,25.60,25.299999,25.299999,91900,25.299999
2016-10-10,25.639999,25.639999,25.51,25.51,41600,25.51
2016-10-07,25.65,25.67,25.559999,25.639999,50200,25.639999
2016-10-06,25.639999,25.65,25.52,25.60,88500,25.60
2016-10-05,25.700001,25.700001,25.549999,25.639999,72700,25.639999
2016-10-04,25.75,25.77,25.65,25.66,73800,25.66
2016-10-03,25.77,25.77,25.67,25.67,62600,25.67
2016-09-30,25.83,25.85,25.690001,25.690001,165700,25.690001
2016-09-29,25.77,25.799999,25.629999,25.73,139700,25.73
2016-09-28,25.68,25.74,25.629999,25.700001,89000,25.700001
2016-09-27,25.66,25.790001,25.587,25.67,106800,25.67
