Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,4.90,4.98,4.80,4.84,1411000,4.84
2016-10-25,4.67,5.01,4.65,4.89,2446400,4.89
2016-10-24,4.71,4.75,4.60,4.62,2033800,4.62
2016-10-21,4.61,4.74,4.60,4.66,3241100,4.66
2016-10-20,4.63,4.70,4.54,4.58,1341800,4.58
2016-10-19,4.54,4.67,4.41,4.66,3040100,4.66
2016-10-18,4.32,4.45,4.23,4.45,2045700,4.45
2016-10-17,4.15,4.27,4.11,4.23,1307000,4.23
2016-10-14,4.16,4.27,4.10,4.11,1906700,4.11
2016-10-13,4.11,4.40,4.07,4.18,1933300,4.18
2016-10-12,4.05,4.16,4.00,4.09,1803000,4.09
2016-10-11,4.26,4.26,4.02,4.05,2549600,4.05
2016-10-10,4.16,4.25,4.11,4.24,1658100,4.24
2016-10-07,4.40,4.50,4.08,4.09,4540400,4.09
2016-10-06,4.42,4.61,4.27,4.27,3203700,4.27
2016-10-05,4.95,4.95,4.38,4.60,7930000,4.60
2016-10-04,5.32,5.40,4.85,4.86,4424600,4.86
2016-10-03,5.65,5.65,5.43,5.54,1212500,5.54
2016-09-30,5.79,5.87,5.52,5.60,2246900,5.60
2016-09-29,5.69,5.78,5.62,5.71,1433700,5.71
2016-09-28,5.60,5.79,5.53,5.72,2152800,5.72
2016-09-27,5.52,5.71,5.50,5.58,2475400,5.58
