Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,46.68,47.099998,45.77,46.279999,1130600,46.279999
2016-10-25,47.130001,47.52,46.91,46.98,1074200,46.98
2016-10-24,47.52,48.029999,47.00,47.279999,637600,47.279999
2016-10-21,47.009998,47.369999,46.849998,47.169998,778900,47.169998
2016-10-20,47.540001,47.709999,47.080002,47.389999,866800,47.389999
2016-10-19,47.400002,47.650002,47.049999,47.50,808100,47.50
2016-10-18,47.50,47.610001,47.189999,47.310001,803100,47.310001
2016-10-17,47.669998,47.77,47.189999,47.240002,606900,47.240002
2016-10-14,47.369999,47.560001,46.900002,47.119999,848500,47.119999
2016-10-13,46.970001,47.959999,46.970001,47.369999,1102200,47.369999
2016-10-12,47.00,47.119999,46.610001,46.990002,932400,46.990002
2016-10-11,47.200001,47.27,46.380001,46.459999,602200,46.459999
2016-10-10,46.970001,47.57,46.849998,47.200001,470000,47.200001
2016-10-07,47.189999,47.849998,46.709999,46.970001,1177800,46.970001
2016-10-06,46.970001,47.220001,46.18,46.82,1058400,46.82
2016-10-05,49.040001,49.290001,47.349998,47.419998,1053700,47.419998
2016-10-04,50.16,50.299999,48.43,48.98,1014300,48.98
2016-10-03,50.639999,51.259998,50.080002,50.189999,1220200,50.189999
2016-09-30,51.630001,51.84,50.849998,50.849998,1204500,50.849998
2016-09-29,51.82,52.029999,51.060001,51.310001,927900,51.310001
2016-09-28,51.93,52.27,51.709999,52.209999,740800,52.209999
2016-09-27,52.09,52.23,51.689999,51.799999,1148000,51.799999
