Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,2.25,2.40,2.15,2.30,1236100,2.30
2016-10-25,2.55,2.55,2.25,2.25,1140000,2.25
2016-10-24,2.50,2.55,2.45,2.55,508400,2.55
2016-10-21,2.55,2.65,2.45,2.45,1216400,2.45
2016-10-20,2.50,2.50,2.45,2.50,352200,2.50
2016-10-19,2.40,2.55,2.35,2.50,885400,2.50
2016-10-18,2.45,2.45,2.30,2.40,453400,2.40
2016-10-17,2.40,2.45,2.30,2.35,232000,2.35
2016-10-14,2.35,2.44,2.35,2.35,634300,2.35
2016-10-13,2.45,2.52,2.31,2.32,766100,2.32
2016-10-12,2.25,2.60,2.25,2.40,1538800,2.40
2016-10-11,2.22,2.32,2.13,2.25,2019900,2.25
2016-10-10,2.27,2.36,2.21,2.23,778300,2.23
2016-10-07,2.45,2.45,2.22,2.23,1118200,2.23
2016-10-06,2.50,2.50,2.39,2.45,683100,2.45
2016-10-05,2.56,2.64,2.46,2.46,1150700,2.46
2016-10-04,2.56,2.60,2.48,2.51,1085100,2.51
2016-10-03,2.70,2.74,2.53,2.55,1491800,2.55
2016-09-30,2.98,2.98,2.67,2.68,2027500,2.68
2016-09-29,2.75,2.95,2.74,2.92,2901100,2.92
2016-09-28,2.61,2.77,2.52,2.75,1722400,2.75
2016-09-27,2.69,2.70,2.58,2.60,833200,2.60
