Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,15.61,15.65,15.31,15.46,471000,15.46
2016-10-25,14.87,15.04,14.67,14.83,169200,14.83
2016-10-24,14.90,15.03,14.81,14.88,172800,14.88
2016-10-21,14.85,15.18,14.76,14.79,176700,14.79
2016-10-20,14.87,15.06,14.78,15.01,193100,15.01
2016-10-19,14.79,14.98,14.76,14.88,193300,14.88
2016-10-18,14.64,14.93,14.45,14.74,276100,14.74
2016-10-17,14.49,14.58,14.24,14.45,213300,14.45
2016-10-14,14.68,14.79,14.37,14.46,222200,14.46
2016-10-13,14.25,14.52,14.05,14.42,303100,14.42
2016-10-12,14.51,14.59,14.38,14.43,160100,14.43
2016-10-11,14.72,14.74,14.34,14.49,204300,14.49
2016-10-10,14.65,14.77,14.51,14.60,183800,14.60
2016-10-07,14.65,14.67,14.32,14.47,276300,14.47
2016-10-06,14.69,14.77,14.51,14.62,321800,14.62
2016-10-05,14.66,14.99,14.61,14.72,522400,14.72
2016-10-04,14.83,14.89,14.48,14.55,334600,14.55
2016-10-03,14.67,14.88,14.53,14.76,297300,14.76
2016-09-30,14.47,14.96,14.39,14.81,538200,14.81
2016-09-29,14.52,14.74,14.06,14.33,478800,14.33
2016-09-28,14.64,14.79,14.36,14.63,319000,14.63
2016-09-27,14.52,14.62,14.35,14.58,517000,14.58
