Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,46.959999,47.459999,46.52,47.34,1816700,47.34
2016-10-25,47.970001,47.970001,46.860001,47.00,2818200,47.00
2016-10-24,48.310001,48.32,47.580002,47.68,1812100,47.68
2016-10-21,47.919998,48.209999,47.299999,47.869999,3547600,47.869999
2016-10-20,47.68,48.889999,45.299999,48.360001,5786600,48.360001
2016-10-19,47.369999,48.23,47.290001,48.029999,3102200,48.029999
2016-10-18,47.380001,47.459999,46.709999,47.150002,3142400,47.150002
2016-10-17,46.959999,47.349998,46.790001,46.799999,1912200,46.799999
2016-10-14,46.880001,47.259998,46.720001,46.860001,2096900,46.860001
2016-10-13,46.549999,46.759998,45.900002,46.540001,3182700,46.540001
2016-10-12,47.459999,47.709999,47.02,47.25,3907200,47.25
2016-10-11,47.43,48.060001,47.240002,47.400002,2065500,47.400002
2016-10-10,47.700001,48.330002,47.639999,47.73,1434100,47.73
2016-10-07,48.209999,48.389999,46.82,47.389999,2361200,47.389999
2016-10-06,47.830002,48.209999,47.73,47.959999,2068100,47.959999
2016-10-05,48.040001,48.200001,47.669998,48.049999,2297300,48.049999
2016-10-04,48.549999,48.669998,47.549999,47.619999,2642600,47.619999
2016-10-03,49.25,49.41,48.540001,48.82,3005300,48.82
2016-09-30,49.049999,49.73,48.720001,49.450001,2745700,49.450001
2016-09-29,49.669998,49.970001,48.619999,48.860001,2100200,48.860001
2016-09-28,49.07,49.759998,48.93,49.73,2125300,49.73
2016-09-27,48.599998,49.18,48.349998,49.07,2447500,48.694999
