Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,1.55,1.67,1.55,1.60,6675800,1.60
2016-10-25,1.56,1.59,1.53,1.55,4640100,1.55
2016-10-24,1.55,1.62,1.52,1.58,6240000,1.58
2016-10-21,1.60,1.60,1.51,1.52,11273500,1.52
2016-10-20,1.56,1.62,1.56,1.57,6120700,1.57
2016-10-19,1.60,1.62,1.55,1.59,4502900,1.59
2016-10-18,1.50,1.63,1.50,1.59,7345800,1.59
2016-10-17,1.54,1.58,1.50,1.53,7923400,1.53
2016-10-14,1.66,1.67,1.55,1.56,9350500,1.56
2016-10-13,1.63,1.71,1.62,1.63,10333300,1.63
2016-10-12,1.78,1.79,1.62,1.62,14782600,1.62
2016-10-11,1.89,1.93,1.77,1.77,9031500,1.77
2016-10-10,1.76,1.92,1.76,1.88,9035300,1.88
2016-10-07,1.72,1.85,1.61,1.80,20728000,1.80
2016-10-06,1.99,2.00,1.87,1.88,13252000,1.88
2016-10-05,1.99,2.06,1.96,2.01,13473900,2.01
2016-10-04,2.08,2.09,1.98,2.00,11414700,2.00
2016-10-03,2.09,2.17,2.06,2.08,11192800,2.08
2016-09-30,2.08,2.09,1.98,2.08,16731900,2.08
2016-09-29,2.20,2.25,2.00,2.06,28193300,2.06
2016-09-28,2.31,2.31,2.12,2.20,28931700,2.20
2016-09-27,2.43,2.47,2.14,2.28,53951800,2.28
