Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,51.52,51.599998,50.82,50.860001,3791300,50.860001
2016-10-25,52.220001,52.400002,51.52,51.630001,2280800,51.630001
2016-10-24,52.860001,53.220001,52.369999,52.48,2804600,52.48
2016-10-21,52.130001,52.700001,51.98,52.50,2486000,52.50
2016-10-20,52.650002,52.700001,52.080002,52.470001,1943300,52.470001
2016-10-19,52.849998,52.98,52.369999,52.610001,1988800,52.610001
2016-10-18,52.900002,53.009998,52.27,52.68,2645500,52.68
2016-10-17,52.25,52.490002,51.970001,52.41,2958000,52.41
2016-10-14,52.439999,52.919998,52.23,52.25,2889100,52.25
2016-10-13,50.91,52.259998,50.52,52.119999,4108800,52.119999
2016-10-12,50.740002,51.73,50.349998,51.419998,4709400,51.419998
2016-10-11,51.25,51.380001,50.25,50.34,5147600,50.34
2016-10-10,52.240002,52.43,51.32,51.34,3129900,51.34
2016-10-07,52.50,52.50,51.639999,51.91,2903500,51.91
2016-10-06,52.540001,52.650002,51.889999,52.32,2649500,52.32
2016-10-05,52.029999,52.790001,51.82,52.57,3949700,52.57
2016-10-04,52.240002,52.509998,51.470001,51.599998,3375100,51.599998
2016-10-03,52.439999,53.02,52.150002,52.25,2941000,52.25
2016-09-30,52.240002,53.009998,52.00,52.66,2738100,52.66
2016-09-29,52.189999,52.610001,51.75,52.009998,3706000,52.009998
2016-09-28,52.349998,52.50,51.75,52.139999,3478900,52.139999
2016-09-27,51.470001,52.48,51.279999,52.400002,3972700,52.400002
