Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,3.35,3.40,2.88,2.95,178000,2.95
2016-10-25,3.65,3.65,3.35,3.40,95300,3.40
2016-10-24,3.75,3.78,3.50,3.55,198400,3.55
2016-10-21,3.60,3.75,3.50,3.75,194100,3.75
2016-10-20,3.40,3.70,3.40,3.65,143000,3.65
2016-10-19,3.45,3.50,3.21,3.45,219000,3.45
2016-10-18,3.35,4.05,3.10,3.40,1110000,3.40
2016-10-17,2.95,3.35,2.95,3.30,437200,3.30
2016-10-14,2.82,2.86,2.80,2.86,66200,2.86
2016-10-13,2.76,2.85,2.75,2.83,67500,2.83
2016-10-12,2.75,2.80,2.73,2.75,25700,2.75
2016-10-11,2.84,2.84,2.75,2.78,49600,2.78
2016-10-10,2.75,2.84,2.75,2.82,34300,2.82
2016-10-07,2.74,2.74,2.71,2.73,52200,2.73
2016-10-06,2.80,2.80,2.70,2.74,79600,2.74
2016-10-05,2.80,2.80,2.74,2.80,64500,2.80
2016-10-04,2.80,2.80,2.74,2.77,40300,2.77
2016-10-03,2.85,2.85,2.70,2.80,57800,2.80
2016-09-30,2.85,2.86,2.71,2.83,131300,2.83
2016-09-29,2.81,2.83,2.75,2.76,53100,2.76
2016-09-28,2.82,2.85,2.79,2.81,30100,2.81
2016-09-27,2.76,2.83,2.76,2.81,12500,2.81
