Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,29.50,29.92,29.43,29.799999,228600,29.799999
2016-10-25,30.27,30.52,29.57,29.66,269600,29.66
2016-10-24,29.49,30.799999,29.49,30.18,1003400,30.18
2016-10-21,29.049999,29.59,29.049999,29.26,257600,29.26
2016-10-20,29.73,30.309999,29.32,29.389999,258100,29.389999
2016-10-19,29.49,30.110001,29.33,29.76,286600,29.76
2016-10-18,29.74,29.93,29.17,29.440001,369000,29.440001
2016-10-17,29.719999,29.870001,29.24,29.49,310100,29.49
2016-10-14,30.07,30.34,29.59,29.83,427800,29.83
2016-10-13,29.559999,29.76,28.530001,29.67,661700,29.67
2016-10-12,30.129999,30.129999,29.540001,29.85,549800,29.85
2016-10-11,31.08,31.08,29.57,30.129999,723800,30.129999
2016-10-10,31.42,31.700001,30.790001,30.790001,426400,30.790001
2016-10-07,31.379999,31.540001,30.84,31.01,356600,31.01
2016-10-06,31.440001,31.49,30.82,31.299999,357800,31.299999
2016-10-05,31.280001,31.84,31.280001,31.469999,698100,31.469999
2016-10-04,31.049999,31.73,30.90,31.07,437900,31.07
2016-10-03,31.02,31.32,30.620001,31.049999,486300,31.049999
2016-09-30,30.50,31.40,30.370001,30.950001,469500,30.950001
2016-09-29,31.15,31.74,30.24,30.49,398800,30.49
2016-09-28,31.219999,31.65,30.780001,31.360001,504400,31.360001
2016-09-27,30.549999,31.139999,30.26,31.129999,448700,31.129999
