Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,2.85,3.09,2.85,3.04,142100,3.04
2016-10-25,2.84,2.88,2.80,2.87,59400,2.87
2016-10-24,2.86,2.90,2.80,2.81,70500,2.81
2016-10-21,2.79,2.84,2.73,2.82,44300,2.82
2016-10-20,2.74,2.85,2.71,2.78,75400,2.78
2016-10-19,2.70,2.73,2.62,2.71,102100,2.71
2016-10-18,2.57,2.82,2.57,2.68,91200,2.68
2016-10-17,2.82,2.86,2.71,2.74,112900,2.74
2016-10-14,2.93,3.06,2.80,2.81,120300,2.81
2016-10-13,2.93,3.08,2.80,2.92,86100,2.92
2016-10-12,2.97,3.04,2.91,2.97,120000,2.97
2016-10-11,3.00,3.07,2.88,2.98,101600,2.98
2016-10-10,3.18,3.21,3.00,3.00,146500,3.00
2016-10-07,3.23,3.24,3.13,3.14,105100,3.14
2016-10-06,3.21,3.27,3.17,3.20,62700,3.20
2016-10-05,3.24,3.28,3.21,3.25,74200,3.25
2016-10-04,3.32,3.35,3.20,3.24,49200,3.24
2016-10-03,3.35,3.35,3.26,3.33,44000,3.33
2016-09-30,3.23,3.39,3.15,3.32,104400,3.32
2016-09-29,3.27,3.35,3.17,3.20,178200,3.20
2016-09-28,3.21,3.33,3.16,3.29,207700,3.29
2016-09-27,3.31,3.36,3.21,3.24,139000,3.24
