Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,1.11,1.14,1.01,1.05,3173800,1.05
2016-10-25,0.95,1.25,0.95,1.15,11047900,1.15
2016-10-24,0.92,0.97,0.90,0.95,1941100,0.95
2016-10-21,0.90,0.93,0.90,0.92,739800,0.92
2016-10-20,0.90,0.93,0.88,0.89,992800,0.89
2016-10-19,0.86,0.93,0.86,0.91,2148500,0.91
2016-10-18,0.84,0.85,0.83,0.85,369900,0.85
2016-10-17,0.85,0.86,0.83,0.84,274500,0.84
2016-10-14,0.86,0.87,0.85,0.85,206900,0.85
2016-10-13,0.89,0.90,0.85,0.87,679800,0.87
2016-10-12,0.92,0.93,0.88,0.90,331200,0.90
2016-10-11,0.91,0.94,0.88,0.92,835300,0.92
2016-10-10,0.87,0.92,0.87,0.91,1071100,0.91
2016-10-07,0.88,0.88,0.85,0.87,314300,0.87
2016-10-06,0.88,0.90,0.85,0.89,650900,0.89
2016-10-05,0.86,0.90,0.83,0.87,1574400,0.87
2016-10-04,0.89,0.92,0.81,0.82,2024700,0.82
2016-10-03,0.87,0.88,0.83,0.87,881100,0.87
2016-09-30,0.84,0.86,0.82,0.84,903900,0.84
2016-09-29,0.80,0.87,0.78,0.83,3346400,0.83
2016-09-28,0.78,0.78,0.69,0.77,2416600,0.77
2016-09-27,0.79,0.79,0.76,0.78,323800,0.78
