Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,13.10,13.20,12.92,13.17,1266000,13.17
2016-10-25,13.32,13.44,13.13,13.20,1360100,13.20
2016-10-24,13.39,13.53,13.12,13.31,2009300,13.31
2016-10-21,13.38,13.51,13.28,13.39,1555700,13.39
2016-10-20,13.50,13.51,13.31,13.45,2402400,13.45
2016-10-19,13.44,13.51,13.30,13.50,1733300,13.50
2016-10-18,13.45,13.51,13.24,13.24,1188700,13.24
2016-10-17,13.27,13.49,13.20,13.29,2054900,13.29
2016-10-14,13.45,13.58,13.30,13.34,2980600,13.34
2016-10-13,13.31,13.54,13.12,13.45,3833100,13.45
2016-10-12,13.49,13.69,13.26,13.47,1527300,13.47
2016-10-11,13.61,13.61,13.20,13.51,1935900,13.51
2016-10-10,13.70,13.74,13.30,13.67,2347800,13.67
2016-10-07,13.12,13.16,12.90,13.03,1598800,13.03
2016-10-06,13.53,13.62,13.06,13.08,1934200,13.08
2016-10-05,13.21,13.51,13.18,13.50,5321800,13.50
2016-10-04,13.05,13.08,12.71,12.77,1917100,12.77
2016-10-03,13.05,13.05,12.63,12.81,1515700,12.81
2016-09-30,13.08,13.08,12.72,12.94,1872900,12.94
2016-09-29,12.90,13.18,12.79,12.90,3348600,12.90
2016-09-28,12.45,12.95,12.20,12.90,3367400,12.90
2016-09-27,12.43,12.46,12.05,12.31,2268700,12.31
