Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,7.50,7.60,7.30,7.40,253600,7.40
2016-10-25,7.40,7.70,7.36,7.50,361400,7.50
2016-10-24,7.45,7.60,7.35,7.40,322700,7.40
2016-10-21,7.35,7.45,7.25,7.45,206300,7.45
2016-10-20,7.40,7.58,7.25,7.45,285000,7.45
2016-10-19,7.40,7.62,7.34,7.40,471000,7.40
2016-10-18,7.30,7.40,7.15,7.35,333700,7.35
2016-10-17,7.15,7.40,7.15,7.25,190600,7.25
2016-10-14,7.19,7.30,7.06,7.22,309800,7.22
2016-10-13,7.10,7.22,6.99,7.12,312900,7.12
2016-10-12,7.15,7.23,7.05,7.15,283900,7.15
2016-10-11,7.34,7.41,7.11,7.18,324000,7.18
2016-10-10,7.23,7.48,7.23,7.33,428000,7.33
2016-10-07,7.25,7.25,7.03,7.16,389100,7.16
2016-10-06,7.00,7.42,6.96,7.21,817000,7.21
2016-10-05,6.80,7.14,6.75,7.06,1010500,7.06
2016-10-04,6.79,6.87,6.71,6.75,497800,6.75
2016-10-03,6.94,6.96,6.74,6.78,366800,6.78
2016-09-30,6.71,6.98,6.60,6.91,583800,6.91
2016-09-29,6.86,6.92,6.62,6.69,522800,6.69
2016-09-28,6.60,6.81,6.45,6.80,622400,6.80
2016-09-27,6.41,6.53,6.34,6.52,318400,6.52
