Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,52.57,53.169998,52.490002,53.009998,1620400,53.009998
2016-10-25,52.93,53.07,52.540001,52.959999,1626500,52.959999
2016-10-24,53.049999,53.200001,52.75,53.00,1006000,53.00
2016-10-21,52.27,52.779999,52.080002,52.619999,1151700,52.619999
2016-10-20,52.669998,52.93,52.419998,52.799999,1319000,52.799999
2016-10-19,53.029999,53.029999,52.389999,52.75,1745300,52.75
2016-10-18,53.00,53.00,52.41,52.630001,1498500,52.630001
2016-10-17,52.439999,52.66,52.18,52.259998,730800,52.259998
2016-10-14,52.540001,53.00,52.27,52.330002,959000,52.330002
2016-10-13,51.98,52.290001,51.25,52.009998,1983000,52.009998
2016-10-12,52.639999,53.110001,52.470001,52.709999,1082500,52.709999
2016-10-11,52.610001,52.799999,52.060001,52.50,1854500,52.50
2016-10-10,52.540001,52.93,52.439999,52.830002,1625000,52.830002
2016-10-07,52.169998,52.470001,51.779999,52.259998,1273700,52.259998
2016-10-06,52.77,52.830002,52.200001,52.549999,1205400,52.549999
2016-10-05,51.52,52.799999,51.369999,52.630001,1620500,52.630001
2016-10-04,51.689999,51.900002,50.959999,51.169998,1769600,51.169998
2016-10-03,51.259998,51.869999,51.25,51.41,1430000,51.41
2016-09-30,50.779999,51.720001,50.669998,51.509998,2454500,51.509998
2016-09-29,51.279999,51.459999,50.18,50.50,1758700,50.50
2016-09-28,50.700001,51.439999,50.52,51.419998,1927700,51.419998
2016-09-27,49.18,50.470001,49.040001,50.419998,1803800,50.419998
