Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,89.940002,91.449997,89.720001,90.709999,1034000,90.709999
2016-10-25,90.169998,90.75,89.559998,90.169998,1482800,90.169998
2016-10-24,90.419998,91.080002,90.07,90.610001,1207500,90.610001
2016-10-21,88.080002,92.639999,87.449997,90.309998,2382700,90.309998
2016-10-20,88.360001,88.690002,87.870003,88.510002,848900,88.510002
2016-10-19,88.089996,88.730003,87.849998,88.18,805600,88.18
2016-10-18,87.550003,88.489998,87.00,88.239998,742100,88.239998
2016-10-17,86.699997,87.050003,85.739998,86.43,790300,86.43
2016-10-14,88.25,88.25,85.75,86.389999,1577400,86.389999
2016-10-13,87.550003,88.68,87.120003,87.900002,1271400,87.900002
2016-10-12,89.440002,89.519997,87.470001,88.00,2348000,88.00
2016-10-11,92.290001,92.709999,88.379997,89.230003,2251000,89.230003
2016-10-10,91.900002,92.970001,91.360001,92.730003,1473400,92.730003
2016-10-07,94.830002,94.949997,90.400002,90.949997,2907100,90.949997
2016-10-06,95.989998,96.199997,94.449997,94.839996,1364200,94.839996
2016-10-05,94.690002,97.169998,94.459999,96.730003,1463100,96.730003
2016-10-04,94.110001,95.059998,93.290001,94.07,2017000,94.07
2016-10-03,92.339996,93.889999,91.260002,93.779999,2081100,93.779999
2016-09-30,93.620003,94.230003,91.639999,92.330002,2198500,92.330002
2016-09-29,97.629997,98.150002,92.510002,93.239998,1844600,93.239998
2016-09-28,96.239998,97.699997,96.099998,97.279999,1789100,97.279999
2016-09-27,95.339996,97.199997,94.849998,96.769997,2004400,96.769997
