Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,51.849998,52.349998,51.049999,51.450001,674500,51.450001
2016-10-25,53.50,54.049999,50.799999,52.299999,570600,52.299999
2016-10-24,53.75,54.400002,53.299999,53.650002,400100,53.650002
2016-10-21,53.75,54.689999,53.52,53.540001,366900,53.540001
2016-10-20,54.18,55.139999,54.18,54.630001,391200,54.630001
2016-10-19,54.18,54.68,53.98,54.50,237300,54.50
2016-10-18,55.25,55.25,53.619999,53.959999,398100,53.959999
2016-10-17,55.189999,55.400002,54.59,54.66,205600,54.66
2016-10-14,56.16,56.240002,54.990002,55.02,174100,55.02
2016-10-13,55.310001,56.310001,54.75,55.759998,281400,55.759998
2016-10-12,56.419998,57.119999,55.650002,56.450001,320100,56.450001
2016-10-11,57.98,57.98,56.209999,56.290001,397700,56.290001
2016-10-10,58.060001,58.50,57.639999,58.27,302800,58.27
2016-10-07,58.459999,58.459999,56.32,57.830002,406100,57.830002
2016-10-06,58.369999,58.610001,57.400002,58.43,260900,58.43
2016-10-05,58.200001,59.560001,58.00,58.700001,242600,58.700001
2016-10-04,58.110001,58.849998,57.00,57.630001,360900,57.630001
2016-10-03,59.650002,59.650002,57.68,57.889999,446700,57.889999
2016-09-30,59.529999,60.16,59.09,59.91,378600,59.91
2016-09-29,59.169998,59.860001,58.799999,59.259998,371500,59.259998
2016-09-28,58.189999,59.84,57.900002,59.34,322100,59.34
2016-09-27,57.060001,58.259998,56.18,57.849998,162000,57.849998
