Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,8.16,8.17,8.10,8.14,1387700,8.14
2016-10-25,8.14,8.18,8.11,8.15,1253500,8.15
2016-10-24,8.01,8.14,8.01,8.14,1294900,8.14
2016-10-21,8.07,8.07,8.01,8.01,1571900,8.01
2016-10-20,8.15,8.15,7.98,8.01,2234400,8.01
2016-10-19,8.03,8.13,8.02,8.09,1356500,8.09
2016-10-18,8.06,8.08,7.99,8.02,1172400,8.02
2016-10-17,7.96,8.05,7.95,8.00,2795500,8.00
2016-10-14,8.15,8.15,7.94,7.96,2108100,7.96
2016-10-13,8.02,8.15,8.00,8.15,1276500,8.15
2016-10-12,7.97,8.12,7.97,8.07,984100,8.07
2016-10-11,8.03,8.05,7.96,7.99,1030900,7.99
2016-10-10,7.97,8.05,7.96,8.03,889400,8.03
2016-10-07,8.03,8.07,7.96,7.98,1641500,7.98
2016-10-06,8.05,8.08,8.01,8.03,814200,8.03
2016-10-05,8.03,8.13,8.02,8.07,1068100,8.07
2016-10-04,8.08,8.12,8.01,8.04,1702000,8.04
2016-10-03,8.05,8.13,8.04,8.10,1642200,8.10
2016-09-30,8.14,8.18,8.10,8.10,1043200,8.10
2016-09-29,8.17,8.23,8.12,8.12,1162900,8.12
2016-09-28,8.19,8.23,8.14,8.21,1257800,8.21
2016-09-27,8.26,8.31,8.24,8.26,1442900,8.177
