Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,9.87,9.95,9.55,9.65,822000,9.65
2016-10-25,9.78,10.03,9.71,9.90,748100,9.90
2016-10-24,10.03,10.14,9.53,9.69,1446800,9.69
2016-10-21,9.77,9.97,9.76,9.93,783400,9.93
2016-10-20,9.89,9.94,9.67,9.85,1318900,9.85
2016-10-19,10.02,10.09,9.80,9.89,1466800,9.89
2016-10-18,9.44,9.84,9.26,9.80,1376000,9.80
2016-10-17,8.99,9.31,8.95,9.21,853300,9.21
2016-10-14,8.93,9.24,8.92,8.94,1786100,8.94
2016-10-13,8.88,9.40,8.80,9.02,1603900,9.02
2016-10-12,8.73,8.93,8.61,8.83,1292500,8.83
2016-10-11,8.80,9.00,8.54,8.65,2591900,8.65
2016-10-10,8.75,8.93,8.50,8.59,1507100,8.59
2016-10-07,8.74,8.93,8.36,8.60,2363600,8.60
2016-10-06,8.32,8.57,8.25,8.44,1907500,8.44
2016-10-05,8.99,9.01,8.31,8.63,3089300,8.63
2016-10-04,9.64,9.66,8.75,8.81,2669200,8.81
2016-10-03,10.23,10.40,9.91,10.09,960200,10.09
2016-09-30,10.71,10.74,10.26,10.27,1320000,10.27
2016-09-29,10.44,10.63,10.30,10.52,963500,10.52
2016-09-28,10.28,10.63,9.93,10.55,1124300,10.55
2016-09-27,10.36,10.52,10.04,10.28,1291900,10.28
