Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,7.02,7.04,6.71,6.79,18257700,6.79
2016-10-25,7.05,7.06,7.00,7.01,6002500,7.01
2016-10-24,7.08,7.13,7.00,7.03,5882500,7.03
2016-10-21,7.03,7.11,7.00,7.04,21744300,7.04
2016-10-20,6.98,7.20,6.92,7.11,57498900,7.11
2016-10-19,6.83,6.85,6.63,6.66,55668000,6.66
2016-10-18,7.09,7.13,7.00,7.02,12416400,7.02
2016-10-17,7.09,7.14,6.97,7.04,9260800,7.04
2016-10-14,7.04,7.13,6.80,7.06,49043000,7.06
2016-10-13,7.19,7.30,7.16,7.20,17308600,7.20
2016-10-12,7.34,7.34,6.96,7.14,24877000,7.14
2016-10-11,7.37,7.43,7.33,7.37,11639200,7.37
2016-10-10,7.44,7.45,7.31,7.34,4349700,7.34
2016-10-07,7.38,7.64,7.15,7.41,28898500,7.41
2016-10-06,7.54,7.60,7.26,7.37,22504300,7.37
2016-10-05,7.60,7.61,7.53,7.58,26468400,7.58
2016-10-04,7.66,7.69,7.54,7.59,15514000,7.59
2016-10-03,7.74,7.76,7.60,7.68,8618800,7.68
2016-09-30,7.61,7.76,7.60,7.69,13102300,7.69
2016-09-29,7.76,7.78,7.55,7.57,23537800,7.57
2016-09-28,8.00,8.09,7.62,7.72,55188400,7.72
2016-09-27,8.03,8.07,8.03,8.07,9696000,8.07
