Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,31.91,31.93,31.91,31.92,1953700,31.92
2016-10-25,31.92,31.92,31.90,31.90,1450700,31.90
2016-10-24,31.879999,31.92,31.860001,31.92,2329600,31.92
2016-10-21,31.82,31.870001,31.82,31.860001,1551100,31.860001
2016-10-20,31.84,31.879999,31.809999,31.83,2314200,31.83
2016-10-19,31.780001,31.860001,31.780001,31.83,4232900,31.83
2016-10-18,31.799999,31.82,31.790001,31.790001,4422100,31.790001
2016-10-17,31.76,31.82,31.75,31.799999,2652500,31.799999
2016-10-14,31.82,31.82,31.74,31.75,2625000,31.75
2016-10-13,31.76,31.83,31.75,31.809999,2164800,31.809999
2016-10-12,31.780001,31.84,31.77,31.77,1744300,31.77
2016-10-11,31.799999,31.799999,31.76,31.780001,1596300,31.780001
2016-10-10,31.74,31.870001,31.74,31.780001,1994000,31.780001
2016-10-07,31.68,31.799999,31.67,31.74,4029000,31.74
2016-10-06,31.700001,31.709999,31.629999,31.700001,2832800,31.700001
2016-10-05,31.700001,31.709999,31.690001,31.700001,1474200,31.700001
2016-10-04,31.700001,31.719999,31.67,31.690001,3983100,31.690001
2016-10-03,31.65,31.700001,31.65,31.700001,1853800,31.700001
2016-09-30,31.60,31.700001,31.549999,31.690001,2698200,31.690001
2016-09-29,31.67,31.68,31.459999,31.49,4716300,31.49
2016-09-28,31.610001,31.700001,31.57,31.690001,2166900,31.690001
2016-09-27,31.559999,31.68,31.559999,31.59,1684000,31.59
