Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,12.45,12.83,12.42,12.65,1388100,12.65
2016-10-25,13.00,13.35,12.48,12.51,2532200,12.51
2016-10-24,11.79,12.00,11.76,11.99,1227200,11.99
2016-10-21,11.57,11.68,11.44,11.62,496200,11.62
2016-10-20,11.69,11.76,11.58,11.69,307600,11.69
2016-10-19,11.67,11.76,11.54,11.70,425800,11.70
2016-10-18,11.78,11.83,11.67,11.70,393000,11.70
2016-10-17,11.69,11.81,11.63,11.67,354100,11.67
2016-10-14,11.81,11.96,11.70,11.73,313100,11.73
2016-10-13,11.81,11.84,11.62,11.77,465600,11.77
2016-10-12,11.95,11.95,11.78,11.84,717900,11.84
2016-10-11,12.32,12.32,11.93,11.99,647900,11.99
2016-10-10,12.45,12.58,12.29,12.32,376000,12.32
2016-10-07,12.49,12.55,12.33,12.42,467500,12.42
2016-10-06,12.61,12.61,12.41,12.51,663000,12.51
2016-10-05,12.43,12.82,12.43,12.61,723400,12.61
2016-10-04,12.47,12.57,12.38,12.43,359800,12.43
2016-10-03,12.49,12.56,12.35,12.43,599400,12.43
2016-09-30,12.47,12.58,12.40,12.50,648400,12.50
2016-09-29,12.54,12.54,12.27,12.39,606800,12.39
2016-09-28,12.47,12.58,12.39,12.53,807500,12.53
2016-09-27,12.32,12.50,12.25,12.47,568500,12.47
