Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,20.370001,20.48,19.719999,19.91,223400,19.91
2016-10-25,20.459999,20.950001,20.309999,20.360001,190600,20.360001
2016-10-24,20.82,20.879999,20.360001,20.51,194800,20.51
2016-10-21,20.309999,20.82,20.24,20.58,288900,20.58
2016-10-20,20.35,20.639999,20.219999,20.41,205400,20.41
2016-10-19,20.610001,20.700001,20.049999,20.309999,405300,20.309999
2016-10-18,20.98,21.23,20.58,20.65,321800,20.65
2016-10-17,21.379999,21.41,20.639999,20.719999,387100,20.719999
2016-10-14,22.290001,22.290001,21.309999,21.34,369500,21.34
2016-10-13,21.90,22.49,21.783701,22.18,161300,22.18
2016-10-12,22.51,22.99,22.030001,22.040001,358800,22.040001
2016-10-11,22.77,22.93,22.200001,22.450001,349800,22.450001
2016-10-10,22.90,23.290001,22.67,23.02,230200,23.02
2016-10-07,22.85,23.02,22.48,22.67,302900,22.67
2016-10-06,22.889999,23.50,22.76,23.049999,332600,23.049999
2016-10-05,22.76,23.120001,22.555,23.120001,332500,23.120001
2016-10-04,24.16,24.200001,22.60,22.780001,517600,22.780001
2016-10-03,22.25,23.200001,21.92,23.120001,408600,23.120001
2016-09-30,22.07,22.605,21.75,22.379999,347000,22.379999
2016-09-29,22.110001,22.348,21.77,21.879999,708500,21.879999
2016-09-28,22.24,22.25,21.74,22.10,610000,22.10
2016-09-27,22.309999,22.549999,22.16,22.24,616000,22.24
