Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,4.81,4.84,4.77,4.79,5277900,4.79
2016-10-25,4.78,4.80,4.74,4.77,5019600,4.77
2016-10-24,4.84,4.85,4.81,4.84,7262900,4.84
2016-10-21,4.64,4.67,4.63,4.67,10593100,4.67
2016-10-20,4.61,4.68,4.61,4.64,10387500,4.64
2016-10-19,4.53,4.58,4.53,4.56,2969000,4.56
2016-10-18,4.49,4.49,4.45,4.48,3870400,4.48
2016-10-17,4.39,4.41,4.36,4.38,2330200,4.38
2016-10-14,4.39,4.43,4.36,4.36,2544600,4.36
2016-10-13,4.27,4.30,4.23,4.28,2556400,4.28
2016-10-12,4.40,4.43,4.38,4.40,1908600,4.35
2016-10-11,4.42,4.45,4.36,4.38,4351900,4.330227
2016-10-10,4.43,4.46,4.41,4.42,3255400,4.369773
2016-10-07,4.45,4.46,4.39,4.43,4760000,4.379659
2016-10-06,4.56,4.58,4.50,4.54,5619700,4.488409
2016-10-05,4.44,4.51,4.42,4.49,7604900,4.438977
2016-10-04,4.40,4.42,4.35,4.39,6744600,4.340114
2016-10-03,4.40,4.43,4.38,4.41,2289300,4.359886
2016-09-30,4.29,4.43,4.28,4.41,7511400,4.359886
2016-09-29,4.42,4.45,4.19,4.27,10241800,4.221477
2016-09-28,4.41,4.43,4.35,4.43,4912500,4.379659
2016-09-27,4.30,4.36,4.28,4.35,4596100,4.300568
