Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,25.700001,25.950001,25.450001,25.85,774600,25.85
2016-10-25,26.35,26.40,25.85,25.90,437600,25.90
2016-10-24,26.40,26.75,26.25,26.35,460700,26.35
2016-10-21,26.049999,26.65,25.950001,26.35,459100,26.35
2016-10-20,26.65,26.700001,26.00,26.299999,596100,26.299999
2016-10-19,26.65,26.799999,26.40,26.60,667000,26.60
2016-10-18,26.450001,27.10,26.35,26.50,954000,26.50
2016-10-17,25.65,26.35,25.549999,26.200001,1196600,26.200001
2016-10-14,26.35,26.57,25.77,25.860001,1807200,25.860001
2016-10-13,26.85,26.889999,25.940001,26.26,2190900,26.26
2016-10-12,27.389999,27.49,27.030001,27.08,642800,27.08
2016-10-11,27.58,27.620001,27.129999,27.51,819100,27.51
2016-10-10,28.34,28.40,27.43,27.709999,1560900,27.709999
2016-10-07,28.51,28.620001,28.370001,28.459999,818600,28.459999
2016-10-06,28.48,28.610001,28.190001,28.50,814300,28.50
2016-10-05,28.59,28.82,28.459999,28.469999,510300,28.469999
2016-10-04,28.75,28.950001,28.33,28.43,950500,28.43
2016-10-03,28.690001,28.860001,28.57,28.68,720900,28.68
2016-09-30,28.48,28.969999,28.41,28.879999,1030900,28.879999
2016-09-29,28.469999,28.65,28.35,28.389999,854000,28.389999
2016-09-28,28.209999,28.620001,28.209999,28.52,628000,28.52
2016-09-27,27.530001,28.23,27.370001,28.049999,1340500,28.049999
