Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,27.77,28.23,27.629999,28.07,1006500,28.07
2016-10-25,27.98,28.51,27.84,28.040001,1216700,28.040001
2016-10-24,27.610001,27.75,27.43,27.700001,515700,27.700001
2016-10-21,27.540001,27.75,27.389999,27.40,802500,27.40
2016-10-20,27.24,27.75,27.00,27.74,1283000,27.74
2016-10-19,26.75,27.43,26.549999,27.40,1218900,27.40
2016-10-18,26.790001,26.790001,26.17,26.629999,726800,26.629999
2016-10-17,26.120001,26.450001,26.049999,26.43,567600,26.43
2016-10-14,26.41,26.65,25.940001,26.01,802100,26.01
2016-10-13,25.790001,26.33,25.790001,26.27,544000,26.27
2016-10-12,26.219999,26.82,26.190001,26.66,511500,26.66
2016-10-11,26.74,26.84,26.129999,26.18,1117100,26.18
2016-10-10,26.49,26.870001,26.469999,26.75,775900,26.75
2016-10-07,26.530001,26.629999,26.049999,26.219999,566100,26.219999
2016-10-06,26.299999,26.67,26.23,26.309999,467600,26.309999
2016-10-05,26.059999,26.690001,26.030001,26.620001,1143700,26.620001
2016-10-04,26.23,26.34,25.940001,26.01,974100,26.01
2016-10-03,26.48,26.51,26.139999,26.34,908400,26.34
2016-09-30,26.50,26.700001,26.299999,26.299999,923700,26.299999
2016-09-29,26.60,26.68,26.299999,26.43,1515700,26.43
2016-09-28,26.02,26.690001,25.860001,26.68,952100,26.68
2016-09-27,25.559999,25.84,25.459999,25.719999,519000,25.719999
