Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,3.55,3.58,3.50,3.56,2688800,3.56
2016-10-25,3.64,3.65,3.57,3.60,2474200,3.60
2016-10-24,3.58,3.67,3.56,3.64,4527400,3.64
2016-10-21,3.61,3.65,3.57,3.59,1164700,3.59
2016-10-20,3.54,3.63,3.53,3.61,2121400,3.61
2016-10-19,3.70,3.74,3.57,3.58,2430800,3.58
2016-10-18,3.72,3.76,3.70,3.73,2413200,3.73
2016-10-17,3.67,3.77,3.62,3.71,2226700,3.71
2016-10-14,3.75,3.79,3.56,3.71,4997000,3.71
2016-10-13,3.85,3.85,3.69,3.76,2618800,3.76
2016-10-12,3.70,3.96,3.65,3.90,5990500,3.90
2016-10-11,3.90,3.99,3.60,3.64,4525100,3.64
2016-10-10,4.01,4.04,3.87,3.96,4236000,3.96
2016-10-07,4.17,4.21,3.87,4.01,5256900,4.01
2016-10-06,4.31,4.32,4.15,4.19,2765900,4.19
2016-10-05,4.37,4.39,4.27,4.32,1519100,4.32
2016-10-04,4.35,4.39,4.30,4.33,1532000,4.33
2016-10-03,4.47,4.50,4.29,4.33,2830700,4.33
2016-09-30,4.51,4.52,4.46,4.49,2072600,4.49
2016-09-29,4.59,4.60,4.48,4.51,1951500,4.51
2016-09-28,4.52,4.60,4.48,4.58,2071300,4.58
2016-09-27,4.50,4.57,4.46,4.47,1690700,4.47
