Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,11.39,11.39,10.91,10.94,411300,10.94
2016-10-25,11.31,11.75,11.15,11.21,490500,11.21
2016-10-24,11.66,11.80,11.04,11.40,460200,11.40
2016-10-21,11.18,11.89,11.11,11.60,500500,11.60
2016-10-20,11.28,12.05,11.21,11.89,712100,11.89
2016-10-19,10.98,11.52,10.98,11.30,398000,11.30
2016-10-18,10.95,11.11,10.82,10.99,447200,10.99
2016-10-17,10.65,10.85,10.64,10.79,525700,10.79
2016-10-14,10.62,10.84,10.50,10.72,782500,10.72
2016-10-13,10.80,10.86,10.50,10.58,742500,10.58
2016-10-12,11.27,11.27,10.78,10.87,432400,10.87
2016-10-11,11.21,11.30,10.87,11.04,721100,11.04
2016-10-10,11.68,11.81,11.02,11.33,617200,11.33
2016-10-07,11.98,11.98,11.34,11.67,623800,11.67
2016-10-06,12.50,12.50,11.93,11.95,704600,11.95
2016-10-05,12.15,12.75,12.15,12.51,1084200,12.51
2016-10-04,11.28,13.69,11.25,12.10,7165500,12.10
2016-10-03,11.45,11.54,10.97,11.37,985700,11.37
2016-09-30,11.05,12.05,11.04,11.46,1170400,11.46
2016-09-29,11.05,11.07,10.83,11.00,443800,11.00
2016-09-28,11.30,11.33,10.80,11.01,328300,11.01
2016-09-27,11.00,11.33,11.00,11.20,387700,11.20
