Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,3.34,3.42,3.29,3.33,2568500,3.33
2016-10-25,3.28,3.48,3.28,3.41,2542400,3.41
2016-10-24,3.32,3.39,3.25,3.34,2194500,3.34
2016-10-21,3.17,3.30,3.16,3.20,3328800,3.20
2016-10-20,3.17,3.28,3.17,3.23,3323700,3.23
2016-10-19,3.33,3.34,3.20,3.22,1631000,3.22
2016-10-18,3.28,3.33,3.25,3.30,1494300,3.30
2016-10-17,3.17,3.22,3.15,3.18,1262800,3.18
2016-10-14,3.18,3.21,3.14,3.17,1532200,3.17
2016-10-13,3.07,3.11,3.02,3.07,3083900,3.07
2016-10-12,3.19,3.21,3.10,3.20,1441100,3.20
2016-10-11,3.15,3.18,3.10,3.16,2386900,3.16
2016-10-10,3.11,3.15,3.09,3.15,1728700,3.15
2016-10-07,3.12,3.12,3.02,3.07,2598400,3.07
2016-10-06,2.96,3.05,2.95,3.03,2513600,3.03
2016-10-05,2.93,3.00,2.90,2.98,1930700,2.98
2016-10-04,2.94,2.98,2.82,2.84,3645900,2.84
2016-10-03,2.81,2.96,2.78,2.95,2686600,2.95
2016-09-30,2.77,2.80,2.71,2.76,1557900,2.76
2016-09-29,2.87,2.90,2.69,2.75,1763600,2.75
2016-09-28,2.69,2.89,2.69,2.87,2252000,2.87
2016-09-27,2.60,2.66,2.56,2.66,652900,2.66
